"Precinct 
Code","Precinct 
Number","Contest 
Title","Choice 
Name","Active 
Voters","Total 
Ballots","Total 
Votes","Total 
Undervotes","Total 
Overvotes"
"100","2181207100","Presidential Electors","Kamala D. Harris / Tim Walz","1,569","1,325",900,24,0
"100","2181207100","Presidential Electors","Donald J. Trump / JD Vance","1,569","1,325",354,24,0
"100","2181207100","Presidential Electors","Blake Huber / Andrea Denault","1,569","1,325",1,24,0
"100","2181207100","Presidential Electors","Chase Russell Oliver / Mike ter Maat","1,569","1,325",8,24,0
"100","2181207100","Presidential Electors","Jill Stein / Rudolph Ware","1,569","1,325",18,24,0
"100","2181207100","Presidential Electors","Randall Terry / Stephen E Broden","1,569","1,325",0,24,0
"100","2181207100","Presidential Electors","Cornel West / Melina Abdullah","1,569","1,325",5,24,0
"100","2181207100","Presidential Electors","Robert F. Kennedy Jr. / Nicole Shanahan","1,569","1,325",15,24,0
"100","2181207100","Presidential Electors","Chris Garrity / Cody Ballard","1,569","1,325",0,24,0
"100","2181207100","Presidential Electors","Claudia De la Cruz / Karina García","1,569","1,325",0,24,0
"100","2181207100","Presidential Electors","Shiva Ayyadurai / Crystal Ellis","1,569","1,325",0,24,0
"100","2181207100","Presidential Electors","Peter Sonski / Lauren Onak","1,569","1,325",0,24,0
"100","2181207100","Presidential Electors","Bill Frankel / Steve Jenkins","1,569","1,325",0,24,0
"100","2181207100","Presidential Electors","Brian Anthony Perry / Mark Sbani","1,569","1,325",0,24,0
"100","2181207100","Representative to the 119th United States Congress - District 2","Joe Neguse","1,569","1,325",885,54,0
"100","2181207100","Representative to the 119th United States Congress - District 2","Marshall Dawson","1,569","1,325",355,54,0
"100","2181207100","Representative to the 119th United States Congress - District 2","Cynthia Munhos de Aquino Sirianni","1,569","1,325",14,54,0
"100","2181207100","Representative to the 119th United States Congress - District 2","Jan Kok","1,569","1,325",7,54,0
"100","2181207100","Representative to the 119th United States Congress - District 2","Gaylon Kent","1,569","1,325",10,54,0
"100","2181207100","Representative to the 119th United States Congress - District 2","Mike Watson","1,569","1,325",0,54,0
"100","2181207100","State Board of Education Member - Congressional District 2","Kathy Gebhardt","1,569","1,325",890,431,0
"100","2181207100","State Board of Education Member - Congressional District 2","Ethan Augreen","1,569","1,325",4,431,0
