2026 Boulder County Primary,5.17.17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
1,108,1,94,108-1-94,Regular,13,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,,1,,,,0,0,1,,1,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2,108,1,93,108-1-93,Regular,13,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
3,108,1,55,108-1-55,Regular,13,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
4,108,1,54,108-1-54,Regular,10,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,,0,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
5,108,1,34,108-1-34,Regular,13,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,1,,,,0,0,1,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
6,108,1,19,108-1-19,Regular,10,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
8,108,1,96,108-1-96,Regular,13,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,,1,,,,0,1,0,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
9,108,1,95,108-1-95,Regular,10,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,,,1,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
