parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=10000 cat=fuzzPct fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 96569.1735, 96569.2133, 96020.0, 96.02000000000001, 23964.387462062616, -9.99999999995449E-6
"nruns=10000 cat=noerror fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 96030.9531, 96030.9972, 95590.0, 95.59, 20092.05726621125, -9.99999999995449E-6
"nruns=10000 cat=phantoms fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 96569.1108, 96569.153, 95780.0, 95.78, 25016.028067042786, -9.99999999995449E-6
"nruns=10000 cat=noerror fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.002, StatRejectNull, 1.0, 97127.3859, 97127.4225, 96340.0, 96.34, 25791.633077326307, -9.99999999995449E-6
"nruns=10000 cat=phantoms fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 96090.461, 96090.5047, 95630.0, 95.63000000000001, 21439.085215797775, -9.99999999995449E-6
"nruns=10000 cat=phantoms fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.001, StatRejectNull, 1.0, 97941.997, 97942.0258, 97120.0, 97.11999999999999, 25033.58557912714, -9.99999999995449E-6
"nruns=10000 cat=phantoms fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 95896.9566, 95897.0025, 95410.0, 95.41, 22393.00263812445, -9.99999999995449E-6
"nruns=10000 cat=phantoms fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 96288.2445, 96288.2876, 95690.0, 95.69, 23604.02005321268, -9.99999999995449E-6
"nruns=10000 cat=noerror fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 96318.4611, 96318.5035, 95760.0, 95.76, 21474.95385579408, -9.99999999995449E-6
"nruns=10000 cat=noerror fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.001, StatRejectNull, 1.0, 97718.6216, 97718.6524, 96920.0, 96.92, 22750.67305619848, -9.99999999995449E-6
"nruns=10000 cat=fuzzPct fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.002, StatRejectNull, 1.0, 96939.6019, 96939.6409, 96100.0, 96.1, 25897.684822564657, -9.99999999995449E-6
