parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 2065.52, 2066.52, 0.0, 0.0, 1711.049709856496, 0.009896600000000004
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 1675.59, 1676.5900000000004, 0.0, 0.0, 1410.5679855646802, 0.0157936
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 8928.32, 8929.319999999996, 0.0, 0.0, 6557.4729216063115, 0.005917299999999992
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 1855.4, 1856.3999999999996, 0.0, 0.0, 1507.808409579944, 0.015707799999999997
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 1035.14, 1036.1400000000003, 0.0, 0.0, 741.6074705664716, 0.015758499999999988
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 300.86, 301.85999999999996, 0.0, 0.0, 301.1821714511004, 0.03931730000000001
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 8852.01, 8853.010000000002, 0.0, 0.0, 6607.952803243982, 0.005952500000000003
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 671.31, 672.3100000000001, 0.0, 0.0, 494.8154139676734, 0.019605699999999997
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 4140.71, 4141.710000000001, 0.0, 0.0, 2983.6661619390334, 0.009978599999999999
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 8177.93, 8178.929999999999, 0.0, 0.0, 5903.9606354632815, 0.004966600000000005
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.025, StatRejectNull, 1.0, 779.11, 780.11, 0.0, 0.0, 738.7815359766378, 0.024542999999999985
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 2255.72, 2256.720000000001, 0.0, 0.0, 2008.845066599214, 0.011803400000000009
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 19334.15, 19335.149999999998, 0.0, 0.0, 12152.979495066218, 0.0038835999999999983
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 19859.1, 19860.100000000002, 0.0, 0.0, 10636.169289269517, 0.002975800000000013
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.025, StatRejectNull, 1.0, 869.64, 870.6400000000001, 0.0, 0.0, 754.966310771547, 0.02458890000000001
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 19632.0, 19633.000000000007, 0.0, 0.0, 12443.757515316665, 0.003980400000000004
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 480.05, 481.04999999999995, 0.0, 0.0, 462.4264563149476, 0.0294848
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 5458.63, 5459.629999999997, 0.0, 0.0, 3882.4486594287387, 0.007934199999999995
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 2803.61, 2804.6099999999997, 0.0, 0.0, 2309.6834886841098, 0.011854100000000001
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 545.27, 546.2700000000001, 0.0, 0.0, 562.5439334843102, 0.029577300000000008
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 7059.0, 7060.000000000002, 0.0, 0.0, 5114.158286560948, 0.0058547000000000035
