parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.01, StatRejectNull, 1.0, 582.0, 583.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.005, StatRejectNull, 1.0, 1132.0, 1133.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.0101, StatRejectNull, 1.0, 3768.75, 3769.75, 0.0, 0.0, 2840.238547639969, 0.010098990100989802
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.012, StatRejectNull, 1.0, 487.0, 488.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.0101, StatRejectNull, 1.0, 9210.37, 9211.370000000003, 0.0, 0.0, 105.82019230751732, 0.010098990100989802
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.006, StatRejectNull, 1.0, 952.0, 953.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.0, 367.0, 368.0, 0.0, 0.0, 0.0, 0.016000000000000014
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.016, StatRejectNull, 1.0, 1371.26, 1372.2599999999989, 0.0, 0.0, 1202.225882436408, 0.016000000000000014
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.012, StatRejectNull, 1.0, 2487.15, 2488.1499999999996, 0.0, 0.0, 2189.4456667156637, 0.01200000000000001
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.0, 4557.0, 4558.0, 0.0, 0.0, 0.0, 9.999999999998899E-4
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.0059, StatRejectNull, 1.0, 7758.47, 7759.470000000001, 0.0, 0.0, 2812.2445642404564, 0.005899410058994192
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.008, StatRejectNull, 1.0, 722.0, 723.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.001, SampleSumRejectNull, 1.0, 9709.99, 9710.019999999999, 0.0, 0.0, 1628.6944279391391, 9.999999999998899E-4
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.003, StatRejectNull, 1.0, 9925.21, 9926.210000000003, 0.0, 0.0, 10.679227500152193, 0.0029999999999998916
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.002, StatRejectNull, 1.0, 2607.0, 2608.0, 0.0, 0.0, 0.0, 0.0020000000000000018
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.003, StatRejectNull, 1.0, 1820.0, 1821.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.008, StatRejectNull, 1.0, 5304.95, 5305.950000000002, 0.0, 0.0, 3267.801763800858, 0.008000000000000007
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.012, StatRejectNull, 1.0, 8936.03, 8937.029999999997, 0.0, 0.0, 133.26690924606945, 0.01200000000000001
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.0021, StatRejectNull, 1.0, 9210.29, 9211.079999999998, 0.0, 0.0, 2594.2567709461605, 0.002099790020997805
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.008, StatRejectNull, 1.0, 9483.67, 9484.669999999996, 0.0, 0.0, 63.091212541842744, 0.008000000000000007
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.004, StatRejectNull, 1.0, 9864.09, 9865.089999999998, 0.0, 0.0, 22.011403862543546, 0.0040000000000000036
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.004, StatRejectNull, 1.0, 8313.9, 8314.899999999996, 0.0, 0.0, 3148.2844645933756, 0.0040000000000000036
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.016, StatRejectNull, 1.0, 8244.86, 8245.86, 0.0, 0.0, 195.42947679405967, 0.016000000000000014
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.003, StatRejectNull, 1.0, 8960.41, 8961.409999999994, 0.0, 0.0, 2785.0043486321533, 0.0029999999999998916
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.004, StatRejectNull, 1.0, 1396.0, 1397.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.005, StatRejectNull, 1.0, 9804.0, 9805.0, 0.0, 0.0, 22.73983289296594, 0.004999999999999893
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.0021, StatRejectNull, 1.0, 9963.9, 9964.900000000001, 0.0, 0.0, 5.072474741188845, 0.002099790020997805
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.001, StatRejectNull, 1.0, 9992.01, 9993.010000000002, 0.0, 0.0, 1.2922461065910589, 9.999999999998899E-4
"nruns=100.0 cat=max99 mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.005, StatRejectNull, 1.0, 7164.54, 7165.54, 0.0, 0.0, 3629.258837338555, 0.004999999999999893
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 10000, 0.0059, StatRejectNull, 1.0, 9707.97, 9708.970000000003, 0.0, 0.0, 40.5234388965206, 0.005899410058994192
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.16, 6528.26, 6529.260000000001, 8802.4, 0.0, 2341.2809298330694, 0.0
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.003, StatRejectNull, 1.15, 9411.72, 9412.719999999998, 9956.84, 0.0, 1812.7879858383876, 0.0
