parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=200.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 3977.6150000000016, 0.0, 0.0, 0.0, 2873.972471471326, 0.040000000000000036
"nruns=200 fuzzPct=0.0 cvrPercent=5% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 320.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4539.529999999997, 0.0, 0.0, 0.0, 3146.027768329454, 0.0396682
"nruns=200.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4242.734999999998, 0.0, 0.0, 0.0, 3131.9948762370295, 0.0399165
"nruns=200.0 fuzzPct=0.0075 mvrsFuzzPct=0.0075 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4398.595000000001, 0.0, 0.0, 0.0, 3156.8030222006255, 0.0395396
"nruns=200.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 193.44500000000008, 0.0, 0.0, 0.0, 104.44130875759836, 0.039666
"nruns=200 fuzzPct=0.001 cvrPercent=5% mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 330.8700000000001, 0.0, 0.0, 0.0, 99.58013406297464, 0.03992379999999996
"nruns=200 fuzzPct=0.0 cvrPercent=95% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 320.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200 fuzzPct=0.0025 cvrPercent=95% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 349.4450000000001, 0.0, 0.0, 0.0, 121.97412420263569, 0.03980660000000001
"nruns=200 fuzzPct=0.0025 cvrPercent=80% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 373.19499999999994, 0.0, 0.0, 0.0, 213.99520315885587, 0.03983899999999998
"nruns=200 fuzzPct=0.001 cvrPercent=50% mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 338.09499999999986, 0.0, 0.0, 0.0, 78.6769087788787, 0.03994939999999998
"nruns=200.0 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4685.049999999999, 0.0, 0.0, 0.0, 3292.33419438246, 0.039844599999999994
"nruns=200 fuzzPct=0.0 cvrPercent=99% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 320.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200 fuzzPct=0.0025 cvrPercent=99% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 371.3249999999999, 0.0, 0.0, 0.0, 176.5090064982521, 0.03988869999999998
"nruns=200.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 163.64000000000001, 0.0, 0.0, 0.0, 70.1024992421811, 0.0399283
"nruns=200 fuzzPct=0.0 cvrPercent=80% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 320.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200 fuzzPct=0.0 cvrPercent=50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 320.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200.0 fuzzPct=0.0075 mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 225.97000000000014, 0.0, 0.0, 0.0, 164.3427488512956, 0.039628500000000004
"nruns=200 fuzzPct=0.0025 cvrPercent=5% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 361.025, 0.0, 0.0, 0.0, 215.15929999653747, 0.03982970000000002
"nruns=200 fuzzPct=0.0025 cvrPercent=50% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 353.14999999999986, 0.0, 0.0, 0.0, 159.85952427052945, 0.039869499999999974
"nruns=200 fuzzPct=0.0075 cvrPercent=80% mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 437.5899999999998, 0.0, 0.0, 0.0, 326.4119665392186, 0.03953909999999998
"nruns=200 fuzzPct=0.005 cvrPercent=80% mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 392.25500000000005, 0.0, 0.0, 0.0, 241.2240037288993, 0.03970250000000001
