parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.004, StatRejectNull, 1.0, 42421.520000000026, 0.0, 0.0, 0.0, 9940.319658320852, 0.0040000000000000036
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.003, StatRejectNull, 1.0, 42919.13999999999, 0.0, 0.0, 0.0, 12158.820289008303, 0.0029999999999998916
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.008, StatRejectNull, 1.0, 32644.51999999999, 0.0, 0.0, 0.0, 11752.537756995293, 0.008000000000000007
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.001, StatRejectNull, 1.0, 48330.759999999995, 0.0, 0.0, 0.0, 6921.139100061491, 9.999999999998899E-4
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.006, StatRejectNull, 1.0, 36718.78, 0.0, 0.0, 0.0, 12010.482212284405, 0.006000000000000005
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.005, StatRejectNull, 1.0, 38030.48999999997, 0.0, 0.0, 0.0, 12674.155142253072, 0.004999999999999893
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.01, StatRejectNull, 1.0, 28100.51, 0.0, 0.0, 0.0, 11042.009808449724, 0.010000000000000009
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.002, StatRejectNull, 1.0, 46663.89999999999, 0.0, 0.0, 0.0, 7658.073007617516, 0.0020000000000000018
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.0, 744.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.005, StatRejectNull, 1.0, 1207.0, 0.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.008, StatRejectNull, 1.0, 757.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.002, StatRejectNull, 1.0, 2934.0, 0.0, 0.0, 0.0, 0.0, 0.0020000000000000018
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.0, 1969.0, 0.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004, StatRejectNull, 1.0, 1504.0, 0.0, 0.0, 0.0, 0.0, 0.0040000000000000036
