parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 1542.0, 1543.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 996.0, 997.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 1233.0, 1234.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 2300.92, 2301.9200000000005, 0.0, 0.0, 2190.9132008365827, 0.005996100000000002
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 4966.91, 4967.909999999997, 0.0, 0.0, 4224.680101723681, 0.005922000000000005
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 1028.0, 1029.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 39866.7, 39867.32, 38000.0, 38.0, 4022.5200929296666, 0.005868799999999996
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 2635.16, 2636.1600000000008, 0.0, 0.0, 2265.6474249979856, 0.004964399999999989
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 1195.0, 1196.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 3036.46, 3037.4599999999996, 0.0, 0.0, 4193.10299759021, 0.005029399999999997
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 81240.93, 81241.12, 81000.0, 81.0, 964.3622093975517, 0.005925199999999997
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 60016.03, 60016.44, 59000.0, 59.0, 4219.523023530445, 0.0049723999999999905
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 7922.76, 7923.759999999999, 0.0, 0.0, 5622.932781245034, 0.004968600000000005
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 19366.16, 19367.159999999993, 0.0, 0.0, 11683.317831609309, 0.004021699999999988
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 69670.29, 69670.6, 69000.0, 69.0, 3369.3297764629438, 0.004022800000000002
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 9878.95, 9879.95, 0.0, 0.0, 6576.8780122106555, 0.005879100000000006
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 75274.86, 75275.11, 75000.0, 75.0, 1170.232048099863, 0.004975899999999995
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 35281.17, 35282.169999999984, 0.0, 0.0, 17145.75141605348, 0.0038737999999999984
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 93086.05, 93086.12, 93000.0, 93.0, 535.154907956756, 0.002992100000000002
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 1493.0, 1494.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 87109.2, 87109.33, 87000.0, 87.0, 332.0549074151164, 0.0039527999999999985
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.004, StatRejectNull, 1.0, 88060.72, 88060.84, 88000.0, 88.0, 199.385305376299, 0.0038499000000000085
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 1989.0, 1990.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 92027.41, 92027.49, 92000.0, 92.0, 226.40171018567858, 0.0047820000000000015
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 2056.0, 2057.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.003, StatRejectNull, 1.0, 28934.07, 28935.069999999992, 0.0, 0.0, 16003.628082566154, 0.002990900000000003
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.006, StatRejectNull, 1.0, 20604.5, 20605.500000000004, 0.0, 0.0, 10873.517167411843, 0.0057546000000000055
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.005, StatRejectNull, 1.0, 24870.16, 24871.16, 0.0, 0.0, 13634.184211547094, 0.004782199999999997
