parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.008, StatRejectNull, 1.06, 954.41, 954.41, 2250.75, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.005, StatRejectNull, 1.15, 1715.65, 1715.65, 3538.74, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.005, StatRejectNull, 1.04, 1734.23, 1734.23, 4836.85, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.003, StatRejectNull, 1.0, 3088.27, 3088.27, 8506.17, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.004, StatRejectNull, 1.0, 2267.37, 2267.37, 6490.2, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.2857142857142858, 9589.43, 9589.43, 9648.02, 94.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.01, StatRejectNull, 1.11, 765.02, 765.02, 1768.94, 0.0
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.01, StatRejectNull, 1.17, 699.74, 699.74, 960.18, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.004, StatRejectNull, 1.12, 1911.73, 1911.73, 4437.0, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.006, StatRejectNull, 1.04, 1399.64, 1399.64, 3758.64, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.008, StatRejectNull, 1.16, 902.7, 902.7, 1626.61, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.002, StatRejectNull, 1.2289156626506024, 5596.9, 5596.9, 7875.24, 27.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.003, StatRejectNull, 1.09, 3065.76, 3065.76, 6388.35, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.002, StatRejectNull, 1.08, 4574.51, 4574.51, 8779.81, 1.0
