parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.06, StatRejectNull, 1.0, 99.0, 99.0, 99.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.04, StatRejectNull, 1.0, 148.0, 148.0, 148.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.0, 368.0, 368.0, 368.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.006, StatRejectNull, 1.0, 953.0, 953.0, 953.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.07, StatRejectNull, 1.0, 85.0, 85.0, 85.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.1, StatRejectNull, 1.0, 59.0, 59.0, 59.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.0, 119.0, 119.0, 119.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.008, StatRejectNull, 1.0, 723.0, 723.0, 723.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.02, StatRejectNull, 1.0, 295.0, 295.0, 295.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.012, StatRejectNull, 1.0, 487.0, 487.0, 487.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.01, StatRejectNull, 1.0, 582.0, 582.0, 582.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.03, StatRejectNull, 1.0, 197.0, 197.0, 197.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.004, StatRejectNull, 1.0, 1397.0, 1397.0, 1397.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.003, StatRejectNull, 1.0, 1820.0, 1820.0, 1820.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.0, 4557.0, 4557.0, 4557.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.08, StatRejectNull, 1.0, 74.0, 74.0, 74.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.005, StatRejectNull, 1.0, 1133.0, 1133.0, 1133.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 10000, 0.002, StatRejectNull, 1.0, 2608.0, 2608.0, 2608.0, 0.0, 0.0
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.08, StatRejectNull, 1.07, 78.45, 78.45, 80.24, 0.0, 33.102379068580554
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.07, StatRejectNull, 1.12, 94.17, 94.16999999999999, 98.31, 0.0, 49.52131965123708
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.1, StatRejectNull, 1.15, 70.22, 70.22000000000004, 72.71, 0.0, 43.79099907515242
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.04, StatRejectNull, 1.21, 183.1, 183.10000000000005, 195.45, 0.0, 140.37645814024515
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.06, StatRejectNull, 1.19, 122.04, 122.03999999999994, 129.84, 0.0, 93.06824592738386
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.23, 153.9, 153.89999999999995, 163.84, 0.0, 113.75618664494694
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.03, StatRejectNull, 1.42, 285.65, 285.65000000000003, 309.15, 0.0, 227.7117201638949
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.02, StatRejectNull, 1.59, 486.36, 486.35999999999996, 533.24, 0.0, 406.0687015764696
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.65, 600.0, 599.9999999999995, 661.41, 0.0, 487.4227118220898
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.012, StatRejectNull, 1.65, 851.3, 851.2999999999996, 944.28, 0.0, 704.1453756150078
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 10000, 0.003, StatRejectNull, 2.25, 4452.32, 4352.329999999999, 5075.77, 0.0, 2796.843542477841
