parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.006, StatRejectNull, 1.0, 8738.27, 8739.269999999997, 0.0, 0.0, 2213.0006907138554, 0.005921000000000003
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.0, 7971.11, 7972.11, 0.0, 0.0, 2193.900366447848, 0.010046
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.1, StatRejectNull, 1.0, 665.43, 666.4299999999996, 0.0, 0.0, 456.10497158000805, 0.09999999999999983
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.0, 4203.7, 4204.700000000002, 0.0, 0.0, 1804.042862572838, 0.02994700000000001
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.004, StatRejectNull, 1.0, 9473.62, 9474.62, 0.0, 0.0, 1364.0162812811288, 0.004066999999999999
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.0, 6231.87, 6232.870000000002, 0.0, 0.0, 1986.7820044232335, 0.020000000000000018
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.07, StatRejectNull, 1.0, 1245.54, 1246.5399999999995, 0.0, 0.0, 808.9425865906678, 0.06985400000000001
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.05, StatRejectNull, 1.0, 2202.04, 2203.040000000001, 0.0, 0.0, 1441.8646186102221, 0.04999999999999991
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.006, StatRejectNull, 1.0, 9104.78, 9105.780000000002, 0.0, 0.0, 1504.632357620957, 0.006000000000000005
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.0, 7887.51, 7888.510000000001, 0.0, 0.0, 2429.2773349084705, 0.010000000000000009
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.012, StatRejectNull, 1.0, 7471.93, 7472.930000000001, 0.0, 0.0, 2429.129429466451, 0.01200000000000001
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.003, StatRejectNull, 1.0, 9574.49, 9575.490000000005, 0.0, 0.0, 1380.6724629324658, 0.003013999999999999
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.0, 4459.21, 4460.21, 0.0, 0.0, 1731.3670454008302, 0.030000000000000096
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.008, StatRejectNull, 1.0, 8204.11, 8205.109999999999, 0.0, 0.0, 2508.2143564496237, 0.008000000000000007
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.1, StatRejectNull, 1.0, 620.9, 621.8999999999999, 0.0, 0.0, 456.6136769743106, 0.099863
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.0, 6128.15, 6129.15, 0.0, 0.0, 2039.572942431822, 0.019922000000000016
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.0, 2802.6, 2803.600000000001, 0.0, 0.0, 1768.7652190157974, 0.03993400000000003
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.07, StatRejectNull, 1.0, 1231.41, 1232.4099999999999, 0.0, 0.0, 841.7237800490134, 0.07000000000000023
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.0, 2851.42, 2852.419999999999, 0.0, 0.0, 1593.0137047746953, 0.040000000000000036
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.001, StatRejectNull, 1.0, 9724.29, 9724.829999999996, 300.0, 3.0, 1375.8415872190658, 9.349999999999903E-4
"nruns=100 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 10000, 0.08, StatRejectNull, 1.0, 835.64, 836.6399999999998, 0.0, 0.0, 582.8297610795111, 0.08000000000000007
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.003, StatRejectNull, 1.0, 9184.07, 9185.050000000001, 0.0, 0.0, 2137.276123363568, 0.002963000000000011
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.08, StatRejectNull, 1.0, 910.01, 911.0100000000002, 0.0, 0.0, 719.8391972517196, 0.07988600000000001
