parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 13538.520000000002, 0.0, 0.0, 0.0, 7254.54922442463, 0.020000000000000018
"nruns=100 cat=poll mvrsFuzzPct=1.0E-4 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 13102.590000000004, 0.0, 0.0, 0.0, 7495.497077706053, 0.02000460000000001
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 3558.7600000000007, 0.0, 0.0, 0.0, 2857.566538577886, 0.020000000000000018
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 1097.5099999999993, 0.0, 0.0, 0.0, 1234.882921535479, 0.020000000000000018
"nruns=100.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 18851.18, 0.0, 0.0, 0.0, 1792.3620247037147, 0.020000000000000018
"nruns=100 cat=poll mvrsFuzzPct=3.3E-4 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 13969.379999999997, 0.0, 0.0, 0.0, 7279.394721788343, 0.01999560000000001
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=100 cat=poll mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14004.480000000001, 0.0, 0.0, 0.0, 7180.342337911194, 0.019818600000000006
"nruns=100 cat=poll mvrsFuzzPct=0.003 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 13841.53, 0.0, 0.0, 0.0, 7339.088550296963, 0.019869999999999995
"nruns=100 cat=clca mvrsFuzzPct=3.3E-4 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 329.59999999999997, 0.0, 0.0, 0.0, 160.61301317141147, 0.01999780000000001
"nruns=100 cat=poll mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 15069.259999999997, 0.0, 0.0, 0.0, 7266.6875268171525, 0.019937200000000002
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 1034.0500000000006, 0.0, 0.0, 0.0, 1226.5905949011676, 0.019998600000000002
"nruns=100 cat=poll mvrsFuzzPct=6.6E-4 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14138.549999999997, 0.0, 0.0, 0.0, 8239.631822326772, 0.019967200000000004
"nruns=100 cat=clca mvrsFuzzPct=1.0E-4 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 0.0, 0.0, 0.0, 9.758073580374354, 0.019988800000000025
"nruns=100 cat=poll mvrsFuzzPct=0.0075 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14692.8, 0.0, 0.0, 0.0, 7766.225666306639, 0.01985160000000001
"nruns=100 cat=clca mvrsFuzzPct=6.6E-4 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 315.6199999999999, 0.0, 0.0, 0.0, 111.63250243544664, 0.019972400000000005
"nruns=100 cat=clca mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 650.7399999999999, 0.0, 0.0, 0.0, 620.223840560809, 0.019843999999999994
"nruns=100.0 cat=bet99 mvrsFuzzPct=3.3E-4 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 891.19, 0.0, 0.0, 0.0, 952.2483467562441, 0.019979800000000002
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 4276.99, 0.0, 0.0, 0.0, 3548.0950959493734, 0.019829599999999992
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=6.6E-4 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 4073.9299999999994, 0.0, 0.0, 0.0, 3441.211604231857, 0.01996439999999999
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=3.3E-4 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 3792.5699999999993, 0.0, 0.0, 0.0, 3066.949977599896, 0.020006200000000005
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.003 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 2028.5199999999998, 0.0, 0.0, 0.0, 3397.6055523853856, 0.019839400000000004
"nruns=100 cat=clca mvrsFuzzPct=0.003 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 480.95, 0.0, 0.0, 0.0, 478.36405331086496, 0.019900399999999995
"nruns=100 cat=clca mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 319.05, 0.0, 0.0, 0.0, 144.54870286515887, 0.019974600000000006
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=1.0E-4 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 3694.13, 0.0, 0.0, 0.0, 2769.7760041382408, 0.019997400000000012
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 4537.5599999999995, 0.0, 0.0, 0.0, 4336.547754424018, 0.019900800000000003
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 5161.829999999999, 0.0, 0.0, 0.0, 7353.5522477983395, 0.01980540000000001
"nruns=100.0 cat=default mvrsFuzzPct=6.6E-4 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 18856.14, 0.0, 0.0, 0.0, 1721.7926357143006, 0.0199834
"nruns=100.0 cat=eta0Eps mvrsFuzzPct=0.003 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 4132.379999999999, 0.0, 0.0, 0.0, 3707.7226805142805, 0.01992499999999999
"nruns=100.0 cat=default mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 19127.81, 0.0, 0.0, 0.0, 2032.8822380797162, 0.019801199999999998
"nruns=100.0 cat=bet99 mvrsFuzzPct=1.0E-4 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 1013.56, 0.0, 0.0, 0.0, 1126.2085092912412, 0.01999040000000001
"nruns=100.0 cat=bet99 mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 9248.730000000007, 0.0, 0.0, 0.0, 11595.906437062175, 0.019675200000000007
"nruns=100.0 cat=default mvrsFuzzPct=3.3E-4 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 18782.93, 0.0, 0.0, 0.0, 1920.8460284728708, 0.01997880000000001
