parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=200.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4625.230000000004, 0.0, 0.0, 0.0, 2944.0954378382503, 0.03975989999999998
"nruns=200.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 508.54499999999985, 0.0, 0.0, 0.0, 400.3611344461397, 0.040000000000000036
"nruns=200.0 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4229.065000000002, 0.0, 0.0, 0.0, 3202.070625513279, 0.038806799999999995
"nruns=200.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4923.634999999999, 0.0, 0.0, 0.0, 3349.9165469866566, 0.03690919999999998
"nruns=200.0 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4609.83, 0.0, 0.0, 0.0, 2978.3355370239933, 0.03982829999999997
"nruns=200.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4297.325000000002, 0.0, 0.0, 0.0, 2910.893647898357, 0.040000000000000036
"nruns=200.0 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4718.53, 0.0, 0.0, 0.0, 3196.4722803584577, 0.038154099999999996
"nruns=200.0 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 456.72499999999997, 0.0, 0.0, 0.0, 383.05410763363454, 0.0381276
"nruns=200.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 157.36499999999992, 0.0, 0.0, 0.0, 50.32804163684498, 0.0399363
"nruns=200.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4614.655000000001, 0.0, 0.0, 0.0, 3137.339539478473, 0.039930200000000006
"nruns=200.0 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 1000.2899999999998, 0.0, 0.0, 0.0, 1053.2143209717572, 0.038752800000000004
