parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.01, StatRejectNull, 1.0, 27129.889999999996, 0.0, 0.0, 0.0, 9876.289061074507, 0.010000000000000009
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4769.830000000001, 0.0, 0.0, 0.0, 3066.638029031141, 0.040000000000000036
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.015, StatRejectNull, 1.0, 18414.229999999992, 0.0, 0.0, 0.0, 9008.912876540653, 0.014999999999999902
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.05, StatRejectNull, 1.0, 2719.630000000001, 0.0, 0.0, 0.0, 1791.83096108422, 0.04999999999999991
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14824.000000000005, 0.0, 0.0, 0.0, 7044.735570622931, 0.020000000000000018
"nruns=100 cat=oneaudit-95% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.0, 216.76, 0.0, 0.0, 0.0, 59.45924991117867, 0.030000000000000096
"nruns=100 cat=oneaudit-99% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.0, 435.60999999999984, 0.0, 0.0, 0.0, 73.5987628972118, 0.030000000000000096
"nruns=100 cat=oneaudit-5% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.0, 615.3700000000001, 0.0, 0.0, 0.0, 12.335035468128988, 0.04999999999999991
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.03, StatRejectNull, 1.0, 6961.170000000003, 0.0, 0.0, 0.0, 4715.214771471179, 0.030000000000000096
"nruns=100 cat=oneaudit-80% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.0, 142.82999999999998, 0.0, 0.0, 0.0, 8.501829214939571, 0.04999999999999991
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.0, 485.72, 0.0, 0.0, 0.0, 28.899508646342067, 0.014999999999999902
