parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14296.119999999997, 0.0, 0.0, 0.0, 7152.828248014907, 0.020000000000000018
"nruns=100.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 13057.119999999997, 0.0, 0.0, 0.0, 6647.675537027962, 0.019978800000000005
"nruns=100 fuzzPct=0.0 cvrPercent=95% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 319.42, 0.0, 0.0, 0.0, 93.23177355386947, 0.020000000000000018
"nruns=100 fuzzPct=0.0 cvrPercent=99% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 970.0300000000001, 0.0, 0.0, 0.0, 223.13643606547097, 0.020000000000000018
"nruns=100 fuzzPct=0.0025 cvrPercent=99% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 1951.4300000000005, 0.0, 0.0, 0.0, 1239.0465064314576, 0.0199386
"nruns=100.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=100 fuzzPct=0.001 cvrPercent=95% mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 1592.5500000000002, 0.0, 0.0, 0.0, 391.50114623076144, 0.019956199999999993
"nruns=100 fuzzPct=0.001 cvrPercent=80% mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 9371.78, 0.0, 0.0, 0.0, 6549.06316136896, 0.019910199999999996
"nruns=100 fuzzPct=0.005 cvrPercent=80% mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 8585.909999999998, 0.0, 0.0, 0.0, 6945.35964525236, 0.0198504
"nruns=100.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 337.14, 0.0, 0.0, 0.0, 160.28449831471534, 0.019984399999999992
"nruns=100.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 12202.960000000006, 0.0, 0.0, 0.0, 7491.010916985771, 0.019814000000000002
"nruns=100 fuzzPct=0.0 cvrPercent=5% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 764.07, 0.0, 0.0, 0.0, 5.5195199066585445, 0.020000000000000018
"nruns=100 fuzzPct=0.001 cvrPercent=50% mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 19489.329999999994, 0.0, 0.0, 0.0, 10745.259508318077, 0.01999179999999999
"nruns=100 fuzzPct=0.0 cvrPercent=80% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 309.5700000000002, 0.0, 0.0, 0.0, 35.65143896114153, 0.020000000000000018
"nruns=100.0 fuzzPct=0.0075 mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 627.2300000000002, 0.0, 0.0, 0.0, 444.7506909494351, 0.01968559999999999
"nruns=100 fuzzPct=0.005 cvrPercent=95% mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 2351.29, 0.0, 0.0, 0.0, 2352.693045405626, 0.019784000000000003
"nruns=100.0 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14465.110000000002, 0.0, 0.0, 0.0, 6910.116113199547, 0.019911799999999997
"nruns=100 fuzzPct=0.0075 cvrPercent=80% mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 9563.070000000002, 0.0, 0.0, 0.0, 7594.464177616482, 0.01972260000000001
"nruns=100.0 fuzzPct=0.0075 mvrsFuzzPct=0.0075 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 14144.539999999999, 0.0, 0.0, 0.0, 6666.051782607153, 0.019765799999999997
"nruns=100 fuzzPct=0.0025 cvrPercent=50% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 20576.440000000002, 0.0, 0.0, 0.0, 10203.567891007537, 0.019875000000000007
