parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4609.4299999999985, 0.0, 0.0, 0.0, 3040.292022997133, 0.0399398
"nruns=100.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4615.839999999999, 0.0, 0.0, 0.0, 2940.6067323598377, 0.039738800000000005
"nruns=100 fuzzPct=0.0 cvrPercent=95% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 158.7599999999999, 0.0, 0.0, 0.0, 37.49483164384126, 0.040000000000000036
"nruns=100.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 216.9799999999999, 0.0, 0.0, 0.0, 124.47690388180453, 0.039764000000000015
"nruns=100.0 fuzzPct=0.0075 mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 214.63000000000005, 0.0, 0.0, 0.0, 126.73363050114204, 0.03952239999999998
"nruns=100 fuzzPct=0.0075 cvrPercent=5% mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 12598.090000000002, 0.0, 0.0, 0.0, 6992.493661198414, 0.03957459999999999
"nruns=100.0 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4515.469999999999, 0.0, 0.0, 0.0, 3009.763091856234, 0.03984900000000001
"nruns=100 fuzzPct=0.005 cvrPercent=5% mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 12716.7, 0.0, 0.0, 0.0, 6919.780390301415, 0.0397682
"nruns=100 fuzzPct=0.0025 cvrPercent=50% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 6210.169999999998, 0.0, 0.0, 0.0, 5176.191339305378, 0.039835199999999994
"nruns=100.0 fuzzPct=0.0075 mvrsFuzzPct=0.0075 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4709.479999999999, 0.0, 0.0, 0.0, 3177.8100084177477, 0.0395262
"nruns=100 fuzzPct=0.0025 cvrPercent=80% mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 1526.4299999999998, 0.0, 0.0, 0.0, 1465.4940958939412, 0.039896799999999975
"nruns=100 fuzzPct=0.0 cvrPercent=50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 249.80999999999997, 0.0, 0.0, 0.0, 4.016702627778163, 0.040000000000000036
"nruns=100.0 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 175.58, 0.0, 0.0, 0.0, 78.63741857411138, 0.0398616
"nruns=100 fuzzPct=0.001 cvrPercent=95% mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 360.55000000000007, 0.0, 0.0, 0.0, 233.04700706080737, 0.0399652
"nruns=100 fuzzPct=0.0075 cvrPercent=50% mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 5957.8200000000015, 0.0, 0.0, 0.0, 4347.270376638656, 0.039528399999999984
"nruns=100.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4060.8899999999994, 0.0, 0.0, 0.0, 3113.9347035382734, 0.040000000000000036
"nruns=100 fuzzPct=0.0 cvrPercent=99% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 273.68, 0.0, 0.0, 0.0, 38.23398488256226, 0.040000000000000036
"nruns=100.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=4.0 ", 50000, 0.04146, StatRejectNull, 1.0, 145.08000000000007, 0.0, 0.0, 0.0, 3.318674434167956, 0.04098379999999999
