parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.01, StatRejectNull, 1.0, 26697.319999999992, 0.0, 0.0, 0.0, 11459.27024411241, 0.010000000000000009
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.001, StatRejectNull, 1.0, 48349.77500000003, 0.0, 0.0, 0.0, 6560.9975479628865, 9.999999999998899E-4
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.004, StatRejectNull, 1.0, 42508.17000000002, 0.0, 0.0, 0.0, 10215.821790296657, 0.0040000000000000036
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.005, StatRejectNull, 1.0, 39725.53000000001, 0.0, 0.0, 0.0, 10794.9241835735, 0.004999999999999893
"nruns=200 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.0, 596.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.003, StatRejectNull, 1.0, 44590.45500000001, 0.0, 0.0, 0.0, 9576.098175038465, 0.0029999999999998916
"nruns=200.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.001, StatRejectNull, 1.0, 305.33000000000015, 0.0, 0.0, 0.0, 93.05187316760474, 9.999999999998899E-4
"nruns=200.0 cat=eta0Eps mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.006, StatRejectNull, 1.0, 700.8249999999999, 0.0, 0.0, 0.0, 349.65444995738295, 0.006000000000000005
"nruns=200.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.0, 209.59499999999997, 0.0, 0.0, 0.0, 53.25402308746262, 0.010000000000000009
"nruns=200.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.006, StatRejectNull, 1.0, 10323.179999999993, 0.0, 0.0, 0.0, 718.639400255789, 0.006000000000000005
"nruns=200.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.002, StatRejectNull, 1.0, 276.77500000000015, 0.0, 0.0, 0.0, 95.50332127732523, 0.0020000000000000018
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.008, StatRejectNull, 1.0, 32402.395000000008, 0.0, 0.0, 0.0, 11129.603037349309, 0.008000000000000007
"nruns=200.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.005, StatRejectNull, 1.0, 260.78000000000003, 0.0, 0.0, 0.0, 78.96816827051266, 0.004999999999999893
"nruns=200.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.002, StatRejectNull, 1.0, 12709.619999999999, 0.0, 0.0, 0.0, 838.2733358517373, 0.0020000000000000018
"nruns=200.0 cat=default mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.0, 8523.634999999998, 0.0, 0.0, 0.0, 708.1954686207756, 0.010000000000000009
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.002, StatRejectNull, 1.0, 46378.63000000001, 0.0, 0.0, 0.0, 9503.676743929165, 0.0020000000000000018
"nruns=200 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.0, 744.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.006, StatRejectNull, 1.0, 37321.850000000035, 0.0, 0.0, 0.0, 11495.60259697159, 0.006000000000000005
"nruns=200 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.004, StatRejectNull, 1.0, 1482.0, 0.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=200.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004, StatRejectNull, 1.0, 257.7900000000003, 0.0, 0.0, 0.0, 81.88159683347658, 0.0040000000000000036
