parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.06, StatRejectNull, 1.0, 1892.2400000000007, 0.0, 0.0, 0.0, 1467.6535089727415, 0.06000000000000019
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.03, StatRejectNull, 1.0, 7370.039999999997, 0.0, 0.0, 0.0, 5132.090513465248, 0.030000000000000096
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.05, StatRejectNull, 1.0, 2719.830000000001, 0.0, 0.0, 0.0, 2018.2944237895522, 0.04999999999999991
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.015, StatRejectNull, 1.0, 17686.129999999997, 0.0, 0.0, 0.0, 9420.762188543982, 0.014999999999999902
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 13969.05, 0.0, 0.0, 0.0, 8258.241379827792, 0.020000000000000018
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4574.1100000000015, 0.0, 0.0, 0.0, 3158.521628531298, 0.040000000000000036
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.01, StatRejectNull, 1.0, 27508.399999999994, 0.0, 0.0, 0.0, 11528.883836694686, 0.010000000000000009
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.0, 198.0, 0.0, 0.0, 0.0, 0.0, 0.030000000000000096
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.0, 119.0, 0.0, 0.0, 0.0, 0.0, 0.04999999999999991
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.06000000000000019
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.0, 397.0, 0.0, 0.0, 0.0, 0.0, 0.014999999999999902
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.0, 596.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=100 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 8589.959999999997, 0.0, 0.0, 0.0, 9340.27733091475, 0.040000000000000036
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.0, 6844.089999999997, 0.0, 0.0, 0.0, 8927.824250168684, 0.06000000000000019
"nruns=100 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.0, 1930.0899999999995, 0.0, 0.0, 0.0, 2871.4221671325167, 0.030000000000000096
"nruns=100 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.0, 271.42, 0.0, 0.0, 0.0, 268.39702606400095, 0.04999999999999991
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, SampleSumRejectNull, 1.0, 47255.430000000015, 0.0, 0.0, 0.0, 10807.356910230177, 0.010000000000000009
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.0, 34713.34999999999, 0.0, 0.0, 0.0, 17826.637553041233, 0.030000000000000096
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 27656.050000000003, 0.0, 0.0, 0.0, 15920.756637405779, 0.040000000000000036
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.0, 18371.170000000002, 0.0, 0.0, 0.0, 13433.09643459392, 0.04999999999999991
"nruns=100 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.0, 26946.659999999996, 0.0, 0.0, 0.0, 17416.889765523574, 0.014999999999999902
"nruns=100 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 412.98, 0.0, 0.0, 0.0, 438.51275876535226, 0.040000000000000036
"nruns=100 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.0, 21238.299999999992, 0.0, 0.0, 0.0, 16131.410887768003, 0.030000000000000096
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, SampleSumRejectNull, 1.0, 46534.71000000001, 0.0, 0.0, 0.0, 11741.934826335057, 0.020000000000000018
"nruns=100 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.0, 44311.70000000002, 0.0, 0.0, 0.0, 12122.48496018865, 0.014999999999999902
"nruns=100 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 39427.33999999999, 0.0, 0.0, 0.0, 13819.08015550963, 0.020000000000000018
"nruns=100 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.0, 1588.85, 0.0, 0.0, 0.0, 2979.1963425561594, 0.04999999999999991
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 41510.24, 0.0, 0.0, 0.0, 16710.731222253562, 0.020000000000000018
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.0, 38608.96000000001, 0.0, 0.0, 0.0, 19275.28078234919, 0.06000000000000019
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, SampleSumRejectNull, 1.0, 44597.5, 0.0, 0.0, 0.0, 14000.224328559878, 0.040000000000000036
"nruns=100 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.0, 46032.779999999984, 0.0, 0.0, 0.0, 12563.275746858377, 0.010000000000000009
"nruns=100 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 14424.149999999994, 0.0, 0.0, 0.0, 13484.315256901256, 0.020000000000000018
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.015, SampleSumRejectNull, 1.0, 46157.77, 0.0, 0.0, 0.0, 12641.643586065067, 0.014999999999999902
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.05, SampleSumRejectNull, 1.0, 43882.78, 0.0, 0.0, 0.0, 14600.676515545436, 0.04999999999999991
"nruns=100 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.0, 40369.82000000001, 0.0, 0.0, 0.0, 15502.573369205518, 0.010000000000000009
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.03, SampleSumRejectNull, 1.0, 47774.76000000002, 0.0, 0.0, 0.0, 8394.438431628405, 0.030000000000000096
"nruns=100 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.01, SampleSumRejectNull, 1.0, 44283.50999999999, 0.0, 0.0, 0.0, 15553.775794639063, 0.010000000000000009
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.0, 44853.959999999985, 0.0, 0.0, 0.0, 14071.183386567027, 0.014999999999999902
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.07, StatRejectNull, 1.0, 1500.8400000000004, 0.0, 0.0, 0.0, 1010.7036926814901, 0.07000000000000023
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.08, StatRejectNull, 1.0, 1157.99, 0.0, 0.0, 0.0, 787.5085586201587, 0.08000000000000007
"nruns=100 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.0, 85.0, 0.0, 0.0, 0.0, 0.0, 0.07000000000000023
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.1, StatRejectNull, 1.0, 599.35, 0.0, 0.0, 0.0, 474.3099276844203, 0.09999999999999983
"nruns=100 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.0, 188.38000000000008, 0.0, 0.0, 0.0, 149.9955185997235, 0.06000000000000019
"nruns=100 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.2, StatRejectNull, 1.0, 158.90999999999985, 0.0, 0.0, 0.0, 112.65798640132, 0.19999999999999962
"nruns=100 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.0, 519.3000000000003, 0.0, 0.0, 0.0, 833.7231015151254, 0.06000000000000019
"nruns=100 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.0, 1965.2800000000007, 0.0, 0.0, 0.0, 3611.423486881592, 0.07000000000000023
