parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4542.5199999999995, 0.0, 0.0, 0.0, 2760.285874615164, 0.040000000000000036
"nruns=100.0 fuzzPct=0.0075 mvrsFuzzPct=0.0075 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4126.629999999999, 0.0, 0.0, 0.0, 2769.650131893918, 0.039534399999999977
"nruns=100.0 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 3936.5600000000004, 0.0, 0.0, 0.0, 2765.2532879286123, 0.03988440000000001
"nruns=100.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4855.369999999997, 0.0, 0.0, 0.0, 2720.2008957244316, 0.03961419999999998
"nruns=100.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 3892.2300000000014, 0.0, 0.0, 0.0, 2765.6745031004643, 0.03993560000000003
"nruns=100.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=100.0 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 178.03000000000003, 0.0, 0.0, 0.0, 86.17707989947212, 0.03988440000000001
"nruns=100 fuzzPct=0.0 cvrPercent=83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 1108.2800000000002, 0.0, 0.0, 0.0, 1091.7629145560863, 0.040000000000000036
"nruns=100 fuzzPct=0.0 cvrPercent=96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 320.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=100.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 198.16999999999993, 0.0, 0.0, 0.0, 92.43484786594287, 0.03965999999999997
"nruns=100 fuzzPct=0.0 cvrPercent=75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 1827.15, 0.0, 0.0, 0.0, 1853.91738421646, 0.040000000000000036
"nruns=100.0 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 154.59, 0.0, 0.0, 0.0, 43.090160129663005, 0.03989420000000002
"nruns=100 fuzzPct=0.0 cvrPercent=90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 608.6200000000001, 0.0, 0.0, 0.0, 461.9073019557063, 0.040000000000000036
