parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=200 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4494.419999999999, 0.0, 0.0, 0.0, 2921.3531391463107, 0.040000000000000036
"nruns=200 cat=poll mvrsFuzzPct=3.0E-4 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4393.764999999999, 0.0, 0.0, 0.0, 3007.899742307745, 0.039983
"nruns=200 cat=poll mvrsFuzzPct=0.003 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4472.369999999998, 0.0, 0.0, 0.0, 3349.007647512917, 0.03983929999999998
"nruns=200 cat=poll mvrsFuzzPct=1.0E-4 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4354.015, 0.0, 0.0, 0.0, 3193.890315082063, 0.03999210000000003
"nruns=200 cat=poll mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 3887.3350000000005, 0.0, 0.0, 0.0, 2731.645771833346, 0.03992679999999997
"nruns=200 cat=poll mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4553.045000000001, 0.0, 0.0, 0.0, 2985.711609143622, 0.0397477
"nruns=200 cat=poll mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4303.000000000001, 0.0, 0.0, 0.0, 2921.751474715124, 0.039416299999999994
"nruns=200 cat=poll mvrsFuzzPct=0.0075 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4336.705000000002, 0.0, 0.0, 0.0, 3039.9992825615927, 0.03955429999999999
"nruns=200.0 cat=eta0Eps mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 517.2800000000001, 0.0, 0.0, 0.0, 341.9961719084002, 0.040000000000000036
"nruns=200 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=200.0 cat=optimalBet mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 228.82000000000005, 0.0, 0.0, 0.0, 131.21351912055403, 0.040000000000000036
"nruns=200 cat=clca mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 168.54000000000002, 0.0, 0.0, 0.0, 90.33226666036894, 0.039929999999999966
"nruns=200 cat=clca mvrsFuzzPct=0.003 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 208.80499999999992, 0.0, 0.0, 0.0, 173.46174499006977, 0.0398226
"nruns=200 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 345.7750000000002, 0.0, 0.0, 0.0, 336.5316989155701, 0.039392399999999994
"nruns=200.0 cat=bet99 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 219.10499999999993, 0.0, 0.0, 0.0, 137.7819072846649, 0.040000000000000036
"nruns=200 cat=clca mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 256.2850000000002, 0.0, 0.0, 0.0, 242.9398562916344, 0.039727200000000004
"nruns=200 cat=clca mvrsFuzzPct=3.0E-4 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 151.04, 0.0, 0.0, 0.0, 31.609941474162852, 0.03999450000000004
"nruns=200 cat=clca mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 348.84499999999997, 0.0, 0.0, 0.0, 323.20982499763227, 0.03963120000000002
"nruns=200.0 cat=optimalBet mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 247.27000000000004, 0.0, 0.0, 0.0, 208.5723545918778, 0.039961299999999984
"nruns=200.0 cat=optimalBet mvrsFuzzPct=1.0E-4 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 250.90000000000012, 0.0, 0.0, 0.0, 147.1276996353848, 0.03999450000000003
"nruns=200.0 cat=bet99 mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 243.04500000000004, 0.0, 0.0, 0.0, 178.44313653094093, 0.0399325
"nruns=200.0 cat=optimalBet mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 214.655, 0.0, 0.0, 0.0, 142.35331388836715, 0.0394872
"nruns=200.0 cat=optimalBet mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 247.8699999999999, 0.0, 0.0, 0.0, 166.61846566332315, 0.03938210000000001
"nruns=200.0 cat=eta0Eps mvrsFuzzPct=0.003 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 582.49, 0.0, 0.0, 0.0, 457.4633536142542, 0.039807800000000004
"nruns=200.0 cat=optimalBet mvrsFuzzPct=3.0E-4 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 237.55000000000004, 0.0, 0.0, 0.0, 162.9618283525317, 0.039978700000000006
"nruns=200 cat=clca mvrsFuzzPct=1.0E-4 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 151.20999999999998, 0.0, 0.0, 0.0, 32.62416129190142, 0.03999010000000002
