parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"contest=1 assertion=2/5 ", 568793, 0.4585024780544064, StatRejectNull, 1.0, 15.0, 0.0, 15.0, 100.0, 0.0, 0.0
"contest=1 assertion=2/6 ", 568793, 0.561965425031602, StatRejectNull, 1.0, 11.0, 0.0, 11.0, 100.0, 0.0, 0.0
"contest=1 assertion=2/4 ", 568793, 0.560919350273298, StatRejectNull, 1.0, 11.0, 0.0, 11.0, 100.0, 0.0, 0.0
"contest=1 assertion=2/1 ", 568793, 0.5650790357827892, StatRejectNull, 1.0, 11.0, 0.0, 11.0, 100.0, 0.0, 0.0
"contest=1 assertion=2/3 ", 568793, 0.5562638780716359, StatRejectNull, 1.0, 11.0, 0.0, 11.0, 100.0, 0.0, 0.0
"contest=1 assertion=2/166 ", 568793, 0.5683666993088874, StatRejectNull, 1.0, 11.0, 0.0, 11.0, 100.0, 0.0, 0.0
"contest=1 assertion=2/174 ", 568793, 0.5683086817172504, StatRejectNull, 1.0, 11.0, 0.0, 11.0, 100.0, 0.0, 0.0
"contest=2 assertion=8/7 ", 568793, 0.42931611324330643, StatRejectNull, 1.0, 16.0, 0.0, 16.0, 100.0, 0.0, 0.0
"contest=3 assertion=10/9 ", 568793, 0.42484172625190536, StatRejectNull, 1.0, 16.0, 0.0, 16.0, 100.0, 0.0, 0.0
"contest=5 assertion=14/13 ", 512519, 0.4101428434848269, StatRejectNull, 1.0, 17.0, 0.0, 17.0, 100.0, 0.0, 0.0
"contest=7 assertion=17/18 ", 61467, 0.23430458620072558, StatRejectNull, 1.0, 22.0, 0.0, 22.0, 100.0, 0.0, 0.0
"contest=9 assertion=21/22 ", 568793, 0.3742837904123293, StatRejectNull, 1.0, 18.0, 0.0, 18.0, 100.0, 0.0, 0.0
"contest=11 assertion=25/26 ", 315815, 0.4381362506530722, StatRejectNull, 1.0, 17.0, 0.0, 17.0, 100.0, 0.0, 0.0
"contest=13 assertion=29/30 ", 258223, 0.149080445971118, StatRejectNull, 1.0, 44.0, 0.0, 44.0, 100.0, 0.0, 0.0
