parameters, N, reportedMean, reportedMeanDiff, nsuccess, ntrials, totalSamples, stddev, percentHist
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.001, 10000, 10000, 18325930, 1124.2157824683875 , "10000 [1:4554 2:1298 3:2180 4:1418 5:547 6:3 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.002, 10000, 10000, 39808757, 2055.084217556429 , "10000 [1:2006 2:357 3:721 4:967 5:1983 6:1872 7:1732 8:362 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.503, -0.001, 10000, 10000, 29398841, 1645.478725072792 , "10000 [2:3458 3:1082 4:1856 5:2001 6:1438 7:165 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.503, -0.002, 10000, 10000, 67769358, 2518.546686539362 , "10000 [2:1145 3:166 4:221 5:293 6:540 7:910 8:1797 9:4326 10:602 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.502, -0.001, 10000, 10000, 56086391, 2373.4374511773403 , "10000 [2:1935 3:7 4:450 5:630 6:1074 7:1759 8:2542 9:1603 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.502, -0.002, 463, 10000, 1175257, 2399.6680276234392 , "10000 [2:374 4:13 5:16 6:9 7:7 8:3 9:9 10:12 11:20 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.501, -0.001, 407, 10000, 1522944, 2083.980772957784 , "10000 [3:335 5:2 6:13 7:5 8:16 9:7 10:16 11:13 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.501, -0.05, 0, 10000, 0, 0.0 , "10000 []"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.502, -0.01, 0, 10000, 0, 0.0 , "10000 []"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.503, -0.0075, 1, 10000, 1023, 0.0 , "10000 [2:1 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.503, -0.05, 969, 10000, 9256308, 4.163822350919522 , "10000 [10:969 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.501, -0.0075, 0, 10000, 0, 0.0 , "10000 []"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.501, -0.002, 14, 10000, 39690, 0.0 , "10000 [3:14 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.005, 186, 10000, 150723, 235.97033326030666 , "10000 [1:180 2:5 4:1 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.502, -0.04, 390, 10000, 3757889, 3.7088030750954086 , "10000 [10:390 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.502, -0.02, 0, 10000, 0, 0.0 , "10000 []"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.503, -0.03, 271, 10000, 2639261, 2.6685014090090555 , "10000 [10:271 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.501, -0.04, 0, 10000, 0, 0.0 , "10000 []"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.503, -0.04, 758, 10000, 7310615, 3.5185507804810694 , "10000 [10:758 ]"
