parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=fuzzPct fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 298.0, 298.0, 0.0, 0.0
"nruns=100 cat=oracle fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 298.0, 298.0, 0.0, 0.0
"nruns=100 cat=2*fuzzPct fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 298.0, 298.0, 0.0, 0.0
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.06, 382.86, 382.86000000000007, 796.15, 0.0, 186.4696768914453
"nruns=100 cat=fuzzPct/2 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 298.0, 298.0, 0.0, 0.0
"nruns=100 cat=noerror fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.0, 298.0, 298.0, 0.0, 0.0
"nruns=100 cat=oracle fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.01, 2585.28, 2585.2799999999997, 7221.82, 0.0, 1453.4586342926998
"nruns=100 cat=oracle fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.07, 1693.18, 1693.1800000000005, 4431.67, 0.0, 1126.029159302724
"nruns=100 cat=oracle fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.09, 1354.83, 1354.83, 3220.22, 0.0, 966.9001298479591
"nruns=100 cat=oracle fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.07, 929.79, 929.7900000000001, 2110.62, 0.0, 614.3955939783422
"nruns=100 cat=2*fuzzPct fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.14, 1208.69, 1208.69, 2248.41, 0.0, 807.1480123868237
"nruns=100 cat=2*fuzzPct fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.06, 2419.59, 2419.590000000001, 5918.41, 0.0, 1638.353747485567
"nruns=100 cat=oracle fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.06, 2179.89, 2179.89, 5841.92, 0.0, 1562.0350565528288
"nruns=100 cat=2*fuzzPct fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.05, 3024.56, 3024.5599999999986, 7513.95, 0.0, 2089.666013122671
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.11, 599.09, 599.0900000000001, 1217.93, 0.0, 378.18339717655516
"nruns=100 cat=fuzzPct/2 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.16, 1111.56, 1111.56, 2231.45, 0.0, 874.5043661411873
"nruns=100 cat=fuzzPct fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.08, 3355.2, 3355.1999999999994, 7581.76, 0.0, 2324.5436283279346
"nruns=100 cat=fuzzPct/2 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.1, 2665.02, 2665.0200000000004, 5988.36, 0.0, 2081.2353253776946
"nruns=100 cat=fuzzPct/2 fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.17, 2444.3, 2444.3000000000006, 4825.09, 0.0, 1927.1529441121172
"nruns=100 cat=fuzzPct fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.18, 1189.26, 1189.2600000000002, 2297.02, 0.0, 965.9468786636254
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.13, 479.51, 479.5099999999999, 845.97, 0.0, 265.19104415496383
"nruns=100 cat=2*fuzzPct fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.17, 2430.73, 2430.7300000000023, 4689.36, 0.0, 1602.9679900422218
"nruns=100 cat=fuzzPct fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.14, 2205.92, 2205.919999999999, 4819.09, 0.0, 1720.711845022286
"nruns=100 cat=fuzzPct/2 fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.11, 3413.33, 3413.3299999999995, 7896.76, 0.0, 2631.1710170758565
"nruns=100 cat=fuzzPct/2 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.21, 703.92, 703.9200000000001, 1313.53, 0.0, 534.4808636424696
"nruns=100 cat=fuzzPct/2 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.19, 1668.16, 1668.16, 3519.12, 0.0, 1378.4758229290785
"nruns=100 cat=fuzzPct fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.18, 3134.7, 3134.7, 6419.92, 0.0, 2763.523285590335
"nruns=100 cat=fuzzPct fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.16, 1708.23, 1708.229999999999, 3470.08, 0.0, 1443.3606746409573
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.21, 691.59, 691.5900000000004, 1331.74, 0.0, 551.5606058267759
"nruns=100 cat=2*fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.17, 689.93, 689.9300000000002, 1242.52, 0.0, 394.3307559650908
"nruns=100 cat=2*fuzzPct fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.21, 1843.55, 1843.5500000000002, 3564.89, 0.0, 1311.621556509346
