parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.01, 3362.1, 3362.1000000000017, 8210.97, 0.0, 1885.2627323532388
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.006, StatRejectNull, 1.04, 2514.36, 2514.3599999999988, 6003.11, 0.0, 1615.8258787381765
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.06, 1731.12, 1731.12, 3727.02, 0.0, 938.3940460169171
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.05, 1106.9, 1106.8999999999999, 2523.73, 0.0, 733.0884598737044
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.004, StatRejectNull, 1.05, 5074.46, 5074.46, 12092.9, 0.0, 3111.0740377560924
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.06, 9098.49, 9098.489999999998, 19567.38, 0.0, 5978.383272248444
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.002, StatRejectNull, 1.06, 15286.66, 15286.660000000002, 31419.48, 0.0, 7943.673695740528
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.1, 4075.32, 4075.3199999999974, 8816.5, 0.0, 3207.208059605737
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.09, 9512.22, 9512.220000000001, 19736.98, 0.0, 6268.986708519966
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.004, StatRejectNull, 1.1, 6264.11, 6264.11, 12819.25, 0.0, 4139.231662748534
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.11, 1324.98, 1324.98, 2670.0, 0.0, 992.0977973970107
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.12, 1932.0, 1932.0, 3876.84, 0.0, 1367.935692932968
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.008, StatRejectNull, 1.13, 1818.22, 1818.2200000000005, 3951.87, 0.0, 1339.88215586297
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.004, StatRejectNull, 1.14, 6510.67, 6510.669999999999, 13148.44, 0.0, 4631.481037540799
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.003, StatRejectNull, 1.14, 10665.33, 10665.329999999994, 20471.22, 0.0, 6334.159778620999
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.002, StatRejectNull, 1.13, 17832.75, 17832.75, 32805.31, 0.0, 11471.116665237956
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.002, StatRejectNull, 1.13, 16868.65, 16868.649999999994, 32604.05, 0.0, 10436.085173449857
