parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.025, StatRejectNull, 1.0, 1805.59, 1805.5900000000006, 10158.87, 0.0, 1766.2210908886802
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.025, StatRejectNull, 1.0, 1914.0, 1914.0000000000002, 10163.22, 0.0, 1873.360258999854
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.02, 537.92, 537.92, 1447.93, 0.0, 303.0143785367288
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.025, StatRejectNull, 1.01, 774.91, 774.9100000000002, 2608.64, 0.0, 465.96682489207325
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.02, 2010.89, 2010.8899999999992, 5656.76, 0.0, 1308.7357632081428
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.03, 5768.63, 5768.630000000002, 14496.59, 0.0, 3723.1385030777456
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 3988.56, 3988.5600000000004, 50000.0, 0.0, 3535.1164091724045
"nruns=100 cat=phantoms fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.05, 982.97, 982.9699999999998, 2962.79, 0.0, 1012.2913459572792
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.05, 717.37, 717.3699999999999, 3527.38, 0.0, 766.421837567276
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.06, 186.64, 186.63999999999996, 429.69, 0.0, 112.93666543687218
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.025, StatRejectNull, 1.07, 1076.08, 1076.0799999999995, 2684.67, 0.0, 1039.1661626515752
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.08, 712.93, 712.9299999999998, 1517.43, 0.0, 524.8460965845132
"nruns=100 cat=oracle fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.1, 315.37, 315.3700000000001, 709.43, 0.0, 198.02286004398582
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 4146.56, 4146.559999999999, 50000.0, 0.0, 3726.5067323701423
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.11, 189.94, 189.93999999999994, 443.98, 0.0, 142.1608821019341
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.13, 315.99, 315.9899999999999, 734.51, 0.0, 260.5466750891287
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.17, 2558.87, 2558.8700000000003, 6403.95, 0.0, 2443.393818666979
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.23, 275.27, 275.27000000000004, 561.85, 0.0, 329.45846035577836
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.24, 262.59, 262.59, 1510.75, 0.0, 220.82156122081918
"nruns=100 cat=previous fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.27, 189.85, 189.85000000000002, 1287.75, 0.0, 146.14871706587095
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.27, 8964.38, 8964.380000000003, 17745.33, 0.0, 7552.907394877817
"nruns=100 cat=fuzzPct fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.23, 35144.87, 35144.87000000002, 45974.49, 2.0, 14900.21136968909
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.32, 478.92, 478.92, 992.31, 0.0, 526.9923468134998
"nruns=100 cat=noerror fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.31, 3624.32, 3624.3199999999997, 7485.99, 0.0, 3165.4580170332374
