parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, failPct
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.0, 99.0, 98.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 298.83, 296.83, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 147.81, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.07004, StatRejectNull, 1.0, 85.0, 83.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.0, 119.0, 118.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.0, 199.0, 197.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.06002, StatRejectNull, 1.32, 3912.04, 1929.43, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.07004, StatRejectNull, 1.33, 2883.41, 1496.53, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.05002, StatRejectNull, 1.31, 5739.11, 2828.13, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.39, 9063.14, 4009.81, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.03, StatRejectNull, 1.26, 13607.55, 6696.83, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.28, 23917.27, 13027.7, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.0, 74.0, 73.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.0, 66.0, 65.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.08, StatRejectNull, 1.35, 2316.88, 1153.68, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.0, 3120.0, 3119.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.09002, StatRejectNull, 1.5, 1811.77, 940.48, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.0, 4373.0, 4372.0, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=2.0 ", 50000, 0.10002, StatRejectNull, 1.32, 1391.44, 678.37, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.0, 2331.0, 2330.0, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.0, 6513.0, 6512.0, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.0, 10514.0, 10513.0, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.16, 7053.42, 4679.72, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.17, 3779.11, 2588.65, 0.0
"nruns=100.0 fuzzPct=0.0 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.0, 59.0, 58.0, 0.0
"nruns=100.0 cvrPercent=0.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.25, 8871.74, 5457.61, 0.0
"nruns=100.0 cvrPercent=0.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.26, 4974.81, 3171.53, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.21, 5257.36, 3392.13, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.18, 10603.92, 7571.16, 0.0
"nruns=100.0 cvrPercent=0.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.28, 6664.06, 4103.21, 0.0
"nruns=100.0 cvrPercent=0.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.21, 12515.54, 7627.22, 0.0
"nruns=100.0 cvrPercent=0.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.18, 19064.22, 12515.11, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.0, 18733.0, 18732.0, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.24, 16610.11, 11445.61, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.08, StatRejectNull, 1.0, 1804.0, 1803.0, 0.0
"nruns=100.0 cvrPercent=1.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.09, StatRejectNull, 1.0, 1436.0, 1435.0, 0.0
"nruns=100.0 cvrPercent=0.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.26, 31367.84, 20669.32, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.08, StatRejectNull, 1.14, 2910.96, 1891.36, 0.0
"nruns=100.0 cvrPercent=0.0 fuzzPct=0.0 auditType=1.0 ", 50000, 0.09, StatRejectNull, 1.23, 2882.78, 1853.79, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.09, StatRejectNull, 1.18, 2311.11, 1572.2, 0.0
"nruns=100.0 cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.26, 27615.54, 20253.94, 0.0
