parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 undervote=0.05 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.15, 13566.42, 13566.420000000002, 22392.98, 0.0, 6511.561961895165
"nruns=100 undervote=0.2 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.19, 11596.45, 11596.449999999999, 20432.81, 0.0, 6302.438066930924
"nruns=100 undervote=0.1 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.19, 11997.64, 11997.639999999992, 21747.74, 0.0, 6827.311587323375
"nruns=100 undervote=0.3 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.19, 10778.89, 10778.89, 18443.88, 0.0, 6186.475781727429
"nruns=100 undervote=0.4 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.2, 10184.04, 10184.04, 17177.16, 0.0, 5711.460585384444
"nruns=100 undervote=0.5 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.22, 10144.44, 10144.440000000002, 15883.43, 0.0, 5499.645023671983
"nruns=100 undervote=0.0 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.21, 14049.73, 14049.729999999996, 24180.48, 0.0, 7031.395098918849
"nruns=100 undervote=0.45 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.21, 10007.37, 10007.369999999997, 16608.75, 0.0, 5502.9897831179005
"nruns=100 undervote=0.15 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.22, 12248.67, 12248.67, 21669.14, 0.0, 7266.2034434152765
"nruns=100 undervote=0.25 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.22, 12166.47, 12166.47, 19504.1, 0.0, 5499.401004573134
"nruns=100 undervote=0.35 cat=polling fuzzPct=0.01 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.25, 10511.16, 10511.159999999998, 18301.83, 0.0, 6353.973293491247
"nruns=100 undervote=0.1 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.76, 1108.17, 1108.1700000000003, 1267.44, 0.0, 1040.5426474200854
"nruns=100 undervote=0.5 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.07, 683.52, 683.5199999999999, 762.8, 0.0, 649.283181362339
"nruns=100 undervote=0.45 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.16, 723.46, 723.4599999999999, 803.59, 0.0, 686.2385215069174
"nruns=100 undervote=0.1 cat=oneaudit cvrPercent=0.5 fuzzPct=0.01 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.18, 19629.18, 19629.17999999999, 25399.72, 0.0, 4434.964704211299
"nruns=100 undervote=0.2 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.26, 772.14, 772.14, 867.67, 0.0, 817.3183225647153
"nruns=100 undervote=0.3 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.61, 1008.46, 1008.4600000000002, 1130.06, 0.0, 870.9802916254765
"nruns=100 undervote=0.25 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.27, 805.1, 805.1000000000001, 913.4, 0.0, 788.5087000154149
