parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, failPct
"nruns=100.0 simType=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.01, 4342.8, 1315.2, 0.0
"nruns=100.0 simType=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.02, 9815.64, 2819.5, 0.0
"nruns=100.0 simType=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.0, 17897.64, 5352.04, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.03, StatRejectNull, 2.05, 2168.73, 1263.73, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.14, 2464.18, 959.23, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 2.29, 4888.69, 3144.1, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.015, StatRejectNull, 2.05, 8155.74, 4980.33, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.24, 5742.14, 2384.74, 0.0
"nruns=100.0 simType=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.1, 9441.64, 3841.82, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.85, 16750.68, 10050.7, 0.0
"nruns=100.0 simType=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.67, 26281.59, 16028.38, 0.0
"nruns=100.0 simType=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.25, 10814.43, 4796.61, 0.0
