parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100.0 strat=1.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 148.0, 149.0, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 148.0, 149.0, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 148.0, 149.0, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 148.0, 149.0, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 149.0, 148.0, 149.0, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.08, 1614.24, 472.36, 1614.24, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.16, 448.62, 200.73, 448.62, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.08, 634.27, 244.86, 634.27, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.02, 1064.04, 334.87, 1064.04, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.03, 2425.72, 591.89, 2425.72, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.34, 297.23, 206.57, 297.23, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.58, 416.99, 230.95, 416.99, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.76, 784.87, 484.27, 784.87, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.01, 1080.02, 680.48, 1080.02, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.77, 635.64, 372.47, 635.64, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.17, 1107.35, 491.85, 1107.35, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.2, 454.81, 217.86, 454.81, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.32, 652.37, 314.72, 652.37, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.13, 326.17, 176.79, 326.17, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.27, 332.75, 205.24, 332.75, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.19, 891.39, 414.63, 891.39, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.32, 934.8, 449.51, 934.8, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 3367.34, 707.65, 3367.34, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.35, 462.41, 220.1, 462.41, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.34, 1241.52, 581.8, 1241.52, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 4264.38, 886.36, 4264.38, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.39, 490.28, 240.71, 490.28, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.46, 680.59, 324.06, 680.59, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.66, 718.3, 337.25, 718.3, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.07 mvrsFuzzPct=0.07 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 5710.14, 1077.95, 5710.14, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.09, 1361.62, 769.62, 1361.62, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.12, 1310.21, 521.23, 1310.21, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.04, 1545.77, 922.94, 1545.77, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.25, 1537.46, 610.83, 1537.46, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.16, 1767.93, 736.84, 1767.93, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.9, 1309.71, 583.59, 1309.71, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.07 mvrsFuzzPct=0.07 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.2, 2123.53, 990.2, 2123.53, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.06 mvrsFuzzPct=0.06 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.28, 1791.52, 794.13, 1791.52, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.07 mvrsFuzzPct=0.07 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.25, 1928.8, 1220.02, 1928.8, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.03 mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.11, 1850.27, 1002.93, 1850.27, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.08 mvrsFuzzPct=0.08 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 6949.13, 1357.21, 6949.13, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.09 mvrsFuzzPct=0.09 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 9200.41, 1351.35, 9200.41, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.07 mvrsFuzzPct=0.07 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.28, 2313.31, 1009.42, 2313.31, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.04 mvrsFuzzPct=0.04 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.08, 2631.47, 1402.7, 2631.47, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.08 mvrsFuzzPct=0.08 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.24, 2124.33, 1264.68, 2124.33, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.0, 3115.45, 1450.33, 3115.45, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.1 mvrsFuzzPct=0.1 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.01, 10967.07, 1555.49, 10967.07, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.09 mvrsFuzzPct=0.09 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.23, 2674.98, 1108.63, 2674.98, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.08 mvrsFuzzPct=0.08 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.26, 2683.46, 1000.62, 2683.46, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.08 mvrsFuzzPct=0.08 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.26, 2480.4, 1111.1, 2480.4, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.11 mvrsFuzzPct=0.11 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.0, 12932.62, 1929.76, 12932.62, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.09 mvrsFuzzPct=0.09 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.5, 2703.84, 1566.59, 2703.84, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.09 mvrsFuzzPct=0.09 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.28, 3052.46, 1308.06, 3052.46, 0.0
