parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.72, 8656.73, 4960.3, 8656.73, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.0, 6927.26, 1318.79, 6927.26, 0.0
"nruns=100.0 strat=4.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.0, 20931.22, 3001.32, 20931.22, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.04, 2277.48, 887.9, 2277.48, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.04, 5343.97, 2092.09, 5343.97, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.46, 18111.72, 9723.48, 18111.72, 0.0
"nruns=100.0 strat=5.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.24, 29841.61, 13950.84, 29850.38, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.35, 2912.69, 1351.43, 2912.69, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.1, 10344.83, 3668.63, 10344.83, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.34, 6324.21, 2815.13, 6324.21, 0.0
