parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.096, 3681.964, 3681.964, 8473.548, 0.0, 2888.3919877163485
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.056, 7910.616, 7910.615999999999, 19411.54, 0.0, 5485.137492948012
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.152, 2354.364, 2354.3640000000005, 4821.432, 0.0, 1779.3203622462147
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.164, 1093.304, 1093.3039999999999, 2205.14, 0.0, 856.1381404796779
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.176, 237.608, 237.6080000000001, 405.152, 0.0, 149.64488075440465
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.224, 375.632, 375.63200000000006, 673.992, 0.0, 252.74858768349225
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.224, 733.016, 733.0160000000001, 1350.688, 0.0, 562.5509752404665
"nruns=250.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.244, 191.9, 191.90000000000006, 305.428, 0.0, 117.56211124337635
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.344, 265.796, 265.796, 420.204, 0.0, 258.01614364996624
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.344, 6012.348, 6012.347999999996, 10551.12, 0.0, 4180.373765453993
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.352, 349.124, 349.124, 568.424, 0.0, 342.9555490497275
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.376, 504.16, 504.1600000000001, 881.636, 0.0, 489.7573178626328
"nruns=250.0 cat=previous simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.372, 363.94399999999996, 363.944, 968.932, 0.4, 91.71734207644229
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.412, 3557.924, 3557.9240000000004, 6523.164, 0.0, 2888.305127617925
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.188, 13412.792, 13412.792000000001, 22729.912, 3.2, 6591.171178042512
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.484, 1882.6, 1882.6000000000001, 3203.868, 0.0, 1522.3390791804563
"nruns=250.0 cat=previous simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.448, 414.672, 414.672, 1480.7079999999999, 0.4, 128.9218180917324
"nruns=250.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.5, 1128.836, 1128.8360000000005, 1894.028, 0.0, 907.4873096104432
"nruns=250.0 cat=previous simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.496, 2711.7, 2711.7000000000003, 3972.9359999999997, 4.8, 237.9258042258197
"nruns=250.0 cat=previous simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.58, 2996.3360000000002, 2996.3360000000002, 5720.24, 4.8, 457.1837120275864
"nruns=250.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.812, 251.072, 251.072, 279.38, 0.0, 239.16798033181615
"nruns=250.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.904, 162.052, 162.0519999999999, 178.912, 0.0, 80.54857724379742
"nruns=250.0 cat=oracle simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.012, 205.76, 205.76000000000005, 230.464, 0.0, 104.04121491024605
"nruns=250.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 2.028, 355.128, 355.12800000000027, 397.492, 0.0, 335.5260818714396
"nruns=250.0 cat=noerror simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 2.152, 487.196, 487.19600000000014, 552.696, 0.0, 447.43312973448883
