parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.095, 3860.732, 3860.7319999999995, 8410.872, 0.0, 2808.365403250798
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.134, 2350.267, 2350.266999999993, 4852.034, 0.0, 1789.333163418987
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.171, 1127.176, 1127.176, 2228.882, 0.0, 858.481118618226
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.19, 234.563, 234.56300000000013, 408.606, 0.0, 144.22759802132177
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.203, 371.68, 371.67999999999995, 661.643, 0.0, 257.76734393634894
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.216, 115.113, 115.11300000000006, 174.171, 0.0, 60.2756852387428
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.203, 707.667, 707.6670000000009, 1328.237, 0.0, 521.5212748402503
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.219, 180.469, 180.46900000000016, 296.463, 0.0, 110.85767018569352
"nruns=1000.0 cat=fuzzPct simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.221, 141.653, 141.65299999999993, 226.698, 0.0, 82.45496098477037
"nruns=1000.0 cat=mixed simFuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.07, StatRejectNull, 1.242, 150.978, 150.97799999999998, 228.378, 0.0, 139.22340864955152
