parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.1, StatRejectNull, 1.0, 856.9899999999997, 0.0, 0.0, 0.0, 673.0035437499567, 0.09999999999999983
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.01, StatRejectNull, 1.0, 26782.359999999997, 0.0, 0.0, 0.0, 10855.947712217481, 0.010000000000000009
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.06, StatRejectNull, 1.0, 2132.1600000000008, 0.0, 0.0, 0.0, 1599.6460153421444, 0.06000000000000019
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.08, StatRejectNull, 1.0, 1097.2799999999995, 0.0, 0.0, 0.0, 760.2990343279411, 0.08000000000000007
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.02, StatRejectNull, 1.0, 13816.409999999998, 0.0, 0.0, 0.0, 7190.099512656276, 0.020000000000000018
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.015, StatRejectNull, 1.0, 18373.200000000004, 0.0, 0.0, 0.0, 9244.200301810859, 0.014999999999999902
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.07, StatRejectNull, 1.0, 1444.9199999999996, 0.0, 0.0, 0.0, 1053.8918794639228, 0.07000000000000023
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.05, StatRejectNull, 1.0, 2872.91, 0.0, 0.0, 0.0, 2097.576139714599, 0.04999999999999991
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.03, StatRejectNull, 1.0, 6702.030000000002, 0.0, 0.0, 0.0, 4509.822893318539, 0.030000000000000096
"nruns=100 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.04, StatRejectNull, 1.0, 4184.67, 0.0, 0.0, 0.0, 3184.238741222147, 0.040000000000000036
