parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 88.0, 0.0, 88.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 77.0, 0.0, 77.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.050000000000000044, StatRejectNull, 1.066, 128.2409999999997, 0.0, 129.206, 0.0, 30.118713767357324, 0.0, 0.943
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 103.0, 0.0, 103.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 206.0, 0.0, 206.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.09000000000000008, StatRejectNull, 1.0, 68.0, 0.0, 68.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.003 ", 50000, 0.030000000000000027, StatRejectNull, 1.314, 251.58599999999976, 0.0, 260.05, 0.0, 128.6974615289672, 0.0, 7.624083333333333
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 61.0, 0.0, 61.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 123.0, 0.0, 123.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.08000000000000007, StatRejectNull, 1.067, 79.99500000000003, 0.0, 80.667, 0.0, 18.269509435121673, 0.0, 0.672
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.10000000000000009, StatRejectNull, 1.031, 62.113000000000014, 0.0, 62.373, 0.0, 10.115840597795122, 0.0, 0.26
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 309.0, 0.0, 309.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.003 ", 50000, 0.06000000000000005, StatRejectNull, 1.153, 112.83099999999999, 0.0, 114.802, 0.0, 36.79962552798601, 0.0, 1.847
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.06000000000000005, StatRejectNull, 1.038, 105.48799999999997, 0.0, 106.337, 0.0, 20.125452939002393, 0.0, 0.8355
"nruns=1000.0 fuzzMvrs=0.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 412.0, 0.0, 412.0, 0.0, 0.0, 0.0, 0.0
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.08000000000000007, StatRejectNull, 1.038, 78.68200000000003, 0.0, 79.059, 0.0, 13.679432590571869, 0.0, 0.377
"nruns=1000.0 fuzzMvrs=0.002 ", 50000, 0.020000000000000018, StatRejectNull, 1.311, 378.74999999999955, 0.0, 391.907, 0.0, 201.22314354964246, 0.0, 11.531916666666666
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.020000000000000018, StatRejectNull, 1.151, 339.26500000000044, 0.0, 346.034, 0.0, 125.28221252436434, 0.0, 6.430166666666667
"nruns=1000.0 fuzzMvrs=0.003 ", 50000, 0.050000000000000044, StatRejectNull, 1.158, 135.52899999999994, 0.0, 138.589, 0.0, 49.523177997782014, 0.0, 2.829
"nruns=1000.0 fuzzMvrs=0.001 ", 50000, 0.030000000000000027, StatRejectNull, 1.118, 221.22199999999967, 0.0, 223.857, 0.0, 67.15095469164974, 0.0, 2.5765
