parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds, distribution
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.598, 6159.360000000001, 0.0, 8783.134, 0.0, 3918.2460671070676, 0.0, 1773.6505833333329,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.606, 2617.508000000003, 0.0, 3750.39, 0.0, 1890.3688951990296, 0.0, 746.8133999999998,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.586, 342.466, 0.0, 465.913, 0.0, 224.2114957891322, 0.0, 83.31808333333333,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.561, 192.79900000000018, 0.0, 270.67, 0.0, 142.66282136211944, 0.0, 52.047500000000014,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.674, 5432.156000000003, 0.0, 7711.25, 0.0, 3496.8131367952706, 0.0, 1473.1637500000002,
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.605, 2982.3329999999987, 0.0, 4274.174, 0.0, 2055.385135226729, 0.0, 864.24875,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.589, 1604.9679999999996, 0.0, 2311.947, 0.0, 1215.641445071695, 0.0, 472.4156166666668,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.591, 677.3990000000002, 0.0, 962.602, 0.0, 472.83975699913367, 0.0, 185.08791666666667,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.599, 1479.612999999998, 0.0, 2099.719, 0.0, 1155.230231266045, 0.0, 414.13148333333316,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.609, 883.4570000000001, 0.0, 1286.293, 0.0, 678.6801280065589, 0.0, 264.5804833333333,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.554, 10475.879999999996, 0.0, 14596.935, 0.0, 5946.534718607129, 0.0, 2969.2649166666674,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.43, 126.95000000000006, 0.0, 155.43, 0.0, 53.58085012390155, 0.0, 20.54715,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.62, 5700.430999999996, 0.0, 8057.35, 0.0, 3703.664246558939, 0.0, 1586.031566666666,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.471, 162.423, 0.0, 203.722, 0.0, 75.23367644213593, 0.0, 29.017750000000007,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.508, 218.18799999999982, 0.0, 277.845, 0.0, 118.9500763177561, 0.0, 42.50803333333334,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.589, 8615.055, 0.0, 11960.211, 0.0, 4810.108469668329, 0.0, 2298.036,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.554, 2412.6679999999988, 0.0, 3506.271, 0.0, 1776.0184204495176, 0.0, 742.8774999999997,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.551, 5375.032999999998, 0.0, 7574.817, 0.0, 3558.2979436678716, 0.0, 1539.6753333333336,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.557, 3205.2790000000005, 0.0, 4689.722, 0.0, 2211.185388238398, 0.0, 1013.1523333333334,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.581, 4302.634999999994, 0.0, 6100.676, 0.0, 2976.004249287122, 0.0, 1223.0456500000005,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.589, 12979.881999999996, 0.0, 17896.87, 0.0, 6678.970834498085, 0.0, 3497.6345833333344,
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.603, 1735.4110000000016, 0.0, 2497.718, 0.0, 1296.6999452760856, 0.0, 515.3534666666668,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.57, 2275.2069999999953, 0.0, 3240.985, 0.0, 1607.4111472025443, 0.0, 659.2306,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.03, StatRejectNull, 1.635, 702.1390000000005, 0.0, 1000.227, 0.0, 522.3492430156283, 0.0, 192.84116666666668,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.569, 15559.466, 0.0, 21421.296, 0.0, 7517.177569729477, 0.0, 4238.49525,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.644, 3398.535000000004, 0.0, 4857.744, 0.0, 2333.022852604533, 0.0, 955.7965833333337,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.611, 1125.5580000000002, 0.0, 1593.121, 0.0, 835.2753968817707, 0.0, 311.30989999999986,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.559, 21112.461999999978, 0.0, 27677.481, 0.0, 8568.951128846287, 0.0, 4996.994916666666,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.632, 415.39800000000014, 0.0, 583.127, 0.0, 315.83924328050176, 0.0, 109.65960000000005,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.577, 1691.516, 0.0, 2450.026, 0.0, 1303.764329832658, 0.0, 506.5869666666667,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.598, 608.3379999999999, 0.0, 869.874, 0.0, 473.9061212476581, 0.0, 171.32701190476192,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.603, 277.86700000000013, 0.0, 390.316, 0.0, 201.49742755429918, 0.0, 72.45060238095239,
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.589, 1108.7499999999989, 0.0, 1631.32, 0.0, 825.3526758301575, 0.0, 346.3806452380954,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.04, StatRejectNull, 1.644, 936.1310000000005, 0.0, 1347.707, 0.0, 719.9719548975497, 0.0, 265.2943833333334,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.596, 423.0819999999999, 0.0, 616.693, 0.0, 329.0600207804043, 0.0, 125.41979999999995,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.576, 24772.65199999998, 0.0, 31716.836, 0.0, 8657.680923832662, 0.0, 5216.4320333333335,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.601, 1210.3220000000001, 0.0, 1734.625, 0.0, 908.6481487990832, 0.0, 345.9342500000001,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.02, StatRejectNull, 1.597, 10611.040000000005, 0.0, 14680.569, 0.0, 5731.631896449733, 0.0, 2818.842533333333,
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.611, 843.4319999999991, 0.0, 1197.412, 0.0, 656.7042739133044, 0.0, 233.15426666666667,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.05, StatRejectNull, 1.622, 2220.118999999995, 0.0, 3179.601, 0.0, 1628.5774113744171, 0.0, 633.5059833333332,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.06, StatRejectNull, 1.618, 1581.286000000001, 0.0, 2276.575, 0.0, 1148.1623980099682, 0.0, 448.20939999999973,
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.01, StatRejectNull, 1.582, 17057.894000000004, 0.0, 23172.144, 0.0, 7652.340698032467, 0.0, 4356.261333333332,
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.015, StatRejectNull, 1.598, 9849.032000000008, 0.0, 13689.662, 0.0, 5466.941672541968, 0.0, 2645.3144999999995,
"nruns=1000.0 cat=oneaudit-1% cvrPercent=0.01 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.636, 1230.5409999999986, 0.0, 1736.787, 0.0, 967.628202523573, 0.0, 330.8912999999999,
"nruns=1000.0 cat=oneaudit-25% cvrPercent=0.25 fuzzPct=0.0 auditType=1.0 ", 50000, 0.08, StatRejectNull, 1.629, 704.7669999999993, 0.0, 1017.082, 0.0, 566.9716313105973, 0.0, 200.07590714285715,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.08, StatRejectNull, 1.596, 243.3229999999999, 0.0, 347.915, 0.0, 179.48934974254036, 0.0, 68.56763333333333,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.536, 148.84300000000007, 0.0, 205.715, 0.0, 96.76434441983271, 0.0, 37.45816666666666,
"nruns=1000.0 cat=oneaudit-75% cvrPercent=0.75 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.629, 320.8309999999998, 0.0, 462.315, 0.0, 251.1132860662693, 0.0, 91.88718333333335,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.08, StatRejectNull, 1.417, 91.85200000000003, 0.0, 109.531, 0.0, 33.211234484734206, 0.0, 12.505250000000006,
"nruns=1000.0 cat=oneaudit-50% cvrPercent=0.5 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.681, 655.5569999999998, 0.0, 930.489, 0.0, 512.0863254872172, 0.0, 173.06610000000003,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.07, StatRejectNull, 1.414, 105.48600000000005, 0.0, 127.302, 0.0, 38.9838146414637, 0.0, 15.741833333333338,
"nruns=1000.0 cat=oneaudit-90% cvrPercent=0.9 fuzzPct=0.0 auditType=1.0 ", 50000, 0.08, StatRejectNull, 1.556, 125.427, 0.0, 168.237, 0.0, 79.07995113175025, 0.0, 28.681349999999984,
"nruns=1000.0 cat=oneaudit-96% cvrPercent=0.96 fuzzPct=0.0 auditType=1.0 ", 50000, 0.09, StatRejectNull, 1.367, 77.12500000000003, 0.0, 91.019, 0.0, 25.717608267488636, 0.0, 9.875333333333334,
