parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.10000000000000009, StatRejectNull, 1.05, 70.44, 0.0, 71.4, 0.0, 19.164195782761148, 0.0, 0.955
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.040000000000000036, StatRejectNull, 1.09, 223.80999999999992, 0.0, 227.87, 0.0, 82.46874498863191, 0.0, 4.06
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.030000000000000027, StatRejectNull, 1.26, 470.53000000000003, 0.0, 482.18, 0.0, 341.805425790756, 0.0, 10.67
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.050000000000000044, StatRejectNull, 1.11, 186.10999999999999, 0.0, 188.41, 0.0, 112.89675770366483, 0.0, 2.3
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.09000000000000008, StatRejectNull, 1.09, 81.38999999999999, 0.0, 83.1, 0.0, 22.155764486923037, 0.0, 1.71
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.09000000000000008, StatRejectNull, 1.05, 83.13000000000001, 0.0, 83.88, 0.0, 23.265706522691286, 0.0, 0.75
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.08000000000000007, StatRejectNull, 1.06, 98.27999999999999, 0.0, 98.68, 0.0, 29.176730454250688, 0.0, 0.4
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.050000000000000044, StatRejectNull, 1.29, 220.39, 0.0, 228.26, 0.0, 123.60913356220892, 0.0, 7.04
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.07000000000000006, StatRejectNull, 1.19, 126.24000000000005, 0.0, 129.62, 0.0, 57.84204699005733, 0.0, 2.865
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.08000000000000007, StatRejectNull, 1.13, 100.08, 0.0, 101.17, 0.0, 41.708675356572996, 0.0, 1.035
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.050000000000000044, StatRejectNull, 1.34, 206.41999999999996, 0.0, 210.61, 0.0, 129.0045875153283, 0.0, 3.825
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.06000000000000005, StatRejectNull, 1.14, 144.22, 0.0, 148.2, 0.0, 63.95038389251467, 0.0, 3.766666666666666
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.040000000000000036, StatRejectNull, 1.4, 312.9599999999999, 0.0, 326.8, 0.0, 198.59798186285784, 0.0, 11.013333333333332
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.10000000000000009, StatRejectNull, 1.09, 74.49000000000001, 0.0, 74.84, 0.0, 21.774064847887267, 0.0, 0.35
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.08000000000000007, StatRejectNull, 1.07, 98.35999999999999, 0.0, 98.74, 0.0, 35.950388036848786, 0.0, 0.33
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.030000000000000027, StatRejectNull, 1.49, 495.4199999999999, 0.0, 529.98, 0.0, 398.91390499705574, 0.0, 29.806666666666665
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.050000000000000044, StatRejectNull, 1.12, 194.50999999999993, 0.0, 197.53, 0.0, 74.67710425558825, 0.0, 2.94
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.06000000000000005, StatRejectNull, 1.15, 149.66, 0.0, 151.66, 0.0, 66.9065348078945, 0.0, 1.815
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.030000000000000027, StatRejectNull, 1.39, 500.63, 0.0, 520.62, 0.0, 339.5869153839707, 0.0, 15.736666666666668
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.09000000000000008, StatRejectNull, 1.22, 89.33999999999999, 0.0, 91.2, 0.0, 42.84512107580045, 0.0, 1.7
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.02499999999999991, StatRejectNull, 1.49, 715.8799999999998, 0.0, 767.75, 0.0, 517.2810315486156, 0.0, 45.38333333333334
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.09000000000000008, StatRejectNull, 1.09, 87.43, 0.0, 88.94, 0.0, 35.41701709630555, 0.0, 1.435
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.02499999999999991, StatRejectNull, 1.25, 664.39, 0.0, 682.11, 0.0, 475.12459197562066, 0.0, 16.63
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.07000000000000006, StatRejectNull, 1.03, 114.75000000000006, 0.0, 115.3, 0.0, 51.39131736003661, 0.0, 0.55
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.07000000000000006, StatRejectNull, 1.1, 116.34000000000005, 0.0, 118.25, 0.0, 42.94350241887591, 0.0, 1.855
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.02499999999999991, StatRejectNull, 1.68, 825.2299999999999, 0.0, 890.98, 0.0, 637.0870247462271, 0.0, 57.92333333333333
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.040000000000000036, StatRejectNull, 1.52, 296.0999999999999, 0.0, 313.04, 0.0, 194.99438453452962, 0.0, 14.721666666666666
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.020000000000000018, StatRejectNull, 1.38, 1257.9699999999998, 0.0, 1325.33, 0.0, 869.1946439664707, 0.0, 59.82
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.040000000000000036, StatRejectNull, 1.19, 261.3299999999999, 0.0, 269.23, 0.0, 125.18003474995523, 0.0, 7.425
"nruns=100.0 fuzzMvrs=0.001 ", 50000, 0.06000000000000005, StatRejectNull, 1.07, 137.63000000000014, 0.0, 140.38, 0.0, 53.531982029437316, 0.0, 2.635
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.08000000000000007, StatRejectNull, 1.19, 103.58000000000003, 0.0, 106.5, 0.0, 50.51102453920333, 0.0, 2.7216666666666662
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.030000000000000027, StatRejectNull, 1.87, 641.2, 0.0, 679.24, 0.0, 461.7443015349514, 0.0, 26.03366666666666
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.10000000000000009, StatRejectNull, 1.09, 74.56000000000002, 0.0, 75.2, 0.0, 25.370581388687167, 0.0, 0.64
"nruns=100.0 fuzzMvrs=0.002 ", 50000, 0.020000000000000018, StatRejectNull, 1.8, 1424.5700000000006, 0.0, 1483.35, 0.0, 1017.4928427758105, 0.0, 43.61
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.10000000000000009, StatRejectNull, 1.19, 77.30999999999999, 0.0, 78.06, 0.0, 27.271485108075794, 0.0, 0.745
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.06000000000000005, StatRejectNull, 1.16, 153.85999999999999, 0.0, 156.66, 0.0, 72.45067563522096, 0.0, 2.695
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.07000000000000006, StatRejectNull, 1.2, 122.38999999999999, 0.0, 124.88, 0.0, 58.634954591949665, 0.0, 2.315
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.020000000000000018, StatRejectNull, 2.47, 2127.7299999999996, 0.0, 2236.11, 0.0, 1636.7179344957394, 0.0, 77.08183333333332
"nruns=100.0 fuzzMvrs=0.004 ", 50000, 0.02499999999999991, StatRejectNull, 1.92, 952.8300000000003, 0.0, 1026.47, 0.0, 748.0711069811476, 0.0, 56.94083333333334
"nruns=100.0 fuzzMvrs=0.003 ", 50000, 0.020000000000000018, StatRejectNull, 2.0, 1751.3799999999997, 0.0, 1846.51, 0.0, 1484.406600497317, 0.0, 71.0325
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.050000000000000044, StatRejectNull, 1.47, 225.17, 0.0, 233.63, 0.0, 144.67640132378187, 0.0, 7.653333333333333
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.09000000000000008, StatRejectNull, 1.16, 86.92999999999999, 0.0, 88.43, 0.0, 37.35993977511205, 0.0, 1.35
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.10000000000000009, StatRejectNull, 1.25, 83.28000000000002, 0.0, 85.05, 0.0, 38.869031374604646, 0.0, 1.415
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.08000000000000007, StatRejectNull, 1.25, 107.04000000000002, 0.0, 111.16, 0.0, 56.23360561088007, 0.0, 3.72
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.07000000000000006, StatRejectNull, 1.23, 128.82000000000002, 0.0, 133.98, 0.0, 67.05361735208623, 0.0, 4.83
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.030000000000000027, StatRejectNull, 1.67, 593.9799999999999, 0.0, 619.17, 0.0, 520.3901609369647, 0.0, 21.309333333333335
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.06000000000000005, StatRejectNull, 1.33, 163.49, 0.0, 168.56, 0.0, 81.82902846789761, 0.0, 4.675
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.040000000000000036, StatRejectNull, 1.56, 343.47000000000014, 0.0, 360.39, 0.0, 233.13851912543325, 0.0, 13.661666666666665
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.02499999999999991, StatRejectNull, 2.07, 1056.56, 0.0, 1123.87, 0.0, 852.0025389633529, 0.0, 45.8725
"nruns=100.0 fuzzMvrs=0.005 ", 50000, 0.020000000000000018, StatRejectNull, 2.35, 2107.2200000000003, 0.0, 2276.24, 0.0, 1858.2160885106982, 0.0, 105.935
