parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 4678.75, 0.0, 0.0, 0.0, 3111.0931820663936, 0.040000000000000036, -4678.75
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 39296.25, 0.0, 0.0, 0.0, 10550.594134336701, 0.004999999999999893, -39296.25
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 1210.6000000000001, 0.0, 0.0, 0.0, 664.0788657983328, 0.030000000000000027, -1210.6
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 13189.099999999999, 0.0, 0.0, 0.0, 8030.065684040199, 0.020000000000000018, -13189.1
"nruns=20 cat=clca ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 412.0, 0.0, 0.0, 0.0, 0.0, 0.014999999999999902, -412.0
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 18256.450000000004, 0.0, 0.0, 0.0, 10528.017227735714, 0.014999999999999902, -18256.45
"nruns=20 cat=clca ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 1229.0, 0.0, 0.0, 0.0, 0.0, 0.004999999999999893, -1229.0
"nruns=20 cat=clca ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 309.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018, -309.0
"nruns=20 cat=clca ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 618.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009, -618.0
"nruns=20 cat=clca ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 206.0, 0.0, 0.0, 0.0, 0.0, 0.030000000000000027, -206.0
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 619.9000000000001, 0.0, 0.0, 0.0, 422.379675173889, 0.020000000000000018, -619.9
"nruns=20 cat=clca ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 154.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036, -154.0
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 11547.899999999998, 0.0, 0.0, 0.0, 7286.680841782492, 0.010000000000000009, -11547.9
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 7570.250000000002, 0.0, 0.0, 0.0, 6950.310301526112, 0.030000000000000027, -7570.25
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 1043.4499999999998, 0.0, 0.0, 0.0, 472.70968627689444, 0.040000000000000036, -1043.45
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 23650.25, 0.0, 0.0, 0.0, 12974.727634424547, 0.010000000000000009, -23650.25
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 1426.0, 0.0, 0.0, 0.0, 1358.473371104491, 0.040000000000000036, -1426.0
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 2243.5, 0.0, 0.0, 0.0, 1412.433591359254, 0.014999999999999902, -2243.5
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 1777.65, 0.0, 0.0, 0.0, 1069.8975313084893, 0.010000000000000009, -1777.65
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 1692.65, 0.0, 0.0, 0.0, 1475.1701012086708, 0.020000000000000018, -1692.65
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 5325.95, 0.0, 0.0, 0.0, 3359.4586539351844, 0.010000000000000009, -5325.95
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 3528.3999999999996, 0.0, 0.0, 0.0, 2123.489684458109, 0.020000000000000018, -3528.4
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 813.9, 0.0, 0.0, 0.0, 526.7053160924047, 0.040000000000000036, -813.9
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 11817.85, 0.0, 0.0, 0.0, 5757.362002471271, 0.004999999999999893, -11817.85
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 8817.599999999999, 0.0, 0.0, 0.0, 4778.044374009099, 0.010000000000000009, -8817.6
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 11413.55, 0.0, 0.0, 0.0, 6195.3055249519375, 0.014999999999999902, -11413.55
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 663.05, 0.0, 0.0, 0.0, 311.9342037994552, 0.030000000000000027, -663.05
