parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=200.0 fuzzPct=0.0 cat=0.04 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 379.87999999999994, 0.0, 0.0, 0.0, 323.2033038197475, 0.040000000000000036
"nruns=200.0 fuzzPct=0.0 cat=0.02 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 1400.3150000000003, 0.0, 0.0, 0.0, 1021.3040564763263, 0.020000000000000018
"nruns=200.0 fuzzPct=0.0025 cat=0.04 mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 468.85999999999984, 0.0, 0.0, 0.0, 353.8783695000304, 0.03984489999999997
"nruns=200.0 fuzzPct=0.0 cat=0.01 mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 4814.384999999999, 0.0, 0.0, 0.0, 3212.1771319114705, 0.010000000000000009
"nruns=200.0 fuzzPct=0.01 cat=0.04 mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 586.4799999999994, 0.0, 0.0, 0.0, 449.62865744967814, 0.0393464
"nruns=200.0 fuzzPct=0.0075 cat=0.04 mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 506.0400000000003, 0.0, 0.0, 0.0, 374.87420343363186, 0.0395438
"nruns=200.0 fuzzPct=0.001 cat=0.04 mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 485.7649999999998, 0.0, 0.0, 0.0, 373.39829910566004, 0.03992870000000002
"nruns=200.0 fuzzPct=0.0025 cat=0.02 mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 1718.3250000000003, 0.0, 0.0, 0.0, 1269.3494827568175, 0.019927399999999998
"nruns=200.0 fuzzPct=0.005 cat=0.04 mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 485.7799999999999, 0.0, 0.0, 0.0, 370.46292877965533, 0.0396522
"nruns=200.0 fuzzPct=0.001 cat=0.02 mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 1521.0249999999992, 0.0, 0.0, 0.0, 1069.3787469250542, 0.01995050000000001
"nruns=200.0 fuzzPct=0.005 cat=0.02 mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 1716.535, 0.0, 0.0, 0.0, 1182.359124282889, 0.019849199999999994
"nruns=200.0 fuzzPct=0.0075 cat=0.02 mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 1995.9299999999987, 0.0, 0.0, 0.0, 1363.7571870021436, 0.01975049999999999
"nruns=200.0 fuzzPct=0.01 cat=0.02 mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 2106.6750000000015, 0.0, 0.0, 0.0, 1534.4210828110386, 0.019671199999999996
"nruns=200.0 fuzzPct=0.001 cat=0.01 mvrsFuzzPct=0.001 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 5215.074999999999, 0.0, 0.0, 0.0, 3354.2362184817866, 0.009972400000000006
"nruns=200.0 fuzzPct=0.005 cat=0.01 mvrsFuzzPct=0.005 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 5705.180000000002, 0.0, 0.0, 0.0, 4003.080749572758, 0.009954199999999995
"nruns=200.0 fuzzPct=0.0025 cat=0.01 mvrsFuzzPct=0.0025 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 5743.655, 0.0, 0.0, 0.0, 3742.7781120412424, 0.0098968
"nruns=200.0 fuzzPct=0.0075 cat=0.01 mvrsFuzzPct=0.0075 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 6575.615000000001, 0.0, 0.0, 0.0, 4159.698450221482, 0.009858700000000001
"nruns=200.0 fuzzPct=0.01 cat=0.01 mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 7274.815, 0.0, 0.0, 0.0, 4343.878233879836, 0.009883000000000006
