parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=200 phantom=0.02 mvrFuzz=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 10239.799999999996, 0.0, 0.0, 0.0, 6257.9495667510755, 0.024323299999999985
"nruns=200 phantom=0.03 mvrFuzz=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 20313.075000000008, 0.0, 0.0, 0.0, 10007.845226589736, 0.014331100000000001
"nruns=200 phantom=0.01 mvrFuzz=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 5721.580000000003, 0.0, 0.0, 0.0, 3994.653462266783, 0.03427060000000002
"nruns=200 phantom=0.0 mvrFuzz=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 3566.4400000000005, 0.0, 0.0, 0.0, 2438.0102391909672, 0.044359100000000005
"nruns=200 phantom=0.005 mvrFuzz=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 4346.570000000002, 0.0, 0.0, 0.0, 3103.1918833839454, 0.039440999999999976
"nruns=200 phantom=0.005 mvrFuzz=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 268.40999999999985, 0.0, 0.0, 0.0, 201.03328555241794, 0.039324
"nruns=200 phantom=0.0 mvrFuzz=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 202.8650000000001, 0.0, 0.0, 0.0, 110.21931216896611, 0.04441979999999998
"nruns=200 phantom=0.01 mvrFuzz=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 318.2899999999999, 0.0, 0.0, 0.0, 224.83023795744205, 0.03424630000000001
"nruns=200 phantom=0.05 mvrFuzz=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 49262.53, 0.0, 49250.0, 98.5, 524.6791612235254, -0.005692699999999999
"nruns=200 phantom=0.03 mvrFuzz=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 2579.955, 0.0, 0.0, 0.0, 2179.4187190567586, 0.014292800000000001
"nruns=200 phantom=0.02 mvrFuzz=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 678.5350000000001, 0.0, 0.0, 0.0, 562.0568465689214, 0.0243534
"nruns=200 phantom=0.04 mvrFuzz=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 42201.25, 0.0, 0.0, 0.0, 9853.792855926089, 0.004341299999999998
"nruns=200 phantom=0.0 mvrFuzz=0.01 cat=oneaudit-90% mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 424.3999999999998, 0.0, 0.0, 0.0, 338.167754228578, 0.044268399999999986
"nruns=200 phantom=0.01 mvrFuzz=0.01 cat=oneaudit-90% mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 821.5800000000003, 0.0, 0.0, 0.0, 680.2680895058945, 0.034325199999999986
"nruns=200 phantom=0.02 mvrFuzz=0.01 cat=oneaudit-90% mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 1714.4750000000001, 0.0, 0.0, 0.0, 1554.623118114162, 0.0242609
"nruns=200 phantom=0.005 mvrFuzz=0.01 cat=oneaudit-90% mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 609.9250000000002, 0.0, 0.0, 0.0, 541.7662682144396, 0.039333399999999984
"nruns=200 phantom=0.03 mvrFuzz=0.01 cat=oneaudit-90% mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 5209.685000000001, 0.0, 0.0, 0.0, 3970.9007159302037, 0.0142605
"nruns=200 phantom=0.04 mvrFuzz=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 22245.159999999996, 0.0, 0.0, 0.0, 10566.517288321633, 0.004306700000000001
"nruns=200 phantom=0.04 mvrFuzz=0.01 cat=oneaudit-90% mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 29417.945, 0.0, 0.0, 0.0, 12993.77771288916, 0.004231400000000003
"nruns=200 phantom=0.05 mvrFuzz=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 49503.845, 0.0, 49500.0, 99.0, 88.5, -0.005631799999999996
"nruns=200 phantom=0.05 mvrFuzz=0.01 cat=oneaudit-90% mvrsFuzzPct=0.01 auditType=1.0 ", 50000, 0.04499999999999993, StatRejectNull, 1.0, 49256.095, 0.0, 49250.0, 98.5, 120.5469018911542, -0.0056572
