parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100.0 fuzzPct=0.0 cat=0.04 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 165.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=100.0 fuzzPct=0.01 cat=0.04 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 242.02999999999994, 0.0, 0.0, 0.0, 147.77106990206164, 0.03938499999999998
"nruns=100.0 fuzzPct=0.0 cat=0.02 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 330.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=100.0 fuzzPct=0.0 cat=0.01 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 660.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=100.0 fuzzPct=0.001 cat=0.04 mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 169.48, 0.0, 0.0, 0.0, 29.420904132946017, 0.03993440000000001
"nruns=100.0 fuzzPct=0.0075 cat=0.02 mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 587.8799999999997, 0.0, 0.0, 0.0, 431.94958687328324, 0.019785800000000003
"nruns=100.0 fuzzPct=0.005 cat=0.02 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 487.39, 0.0, 0.0, 0.0, 290.2854765571298, 0.019852800000000007
"nruns=100.0 fuzzPct=0.0025 cat=0.04 mvrsFuzzPct=0.0025 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 183.21999999999997, 0.0, 0.0, 0.0, 56.642842442801175, 0.03993259999999999
"nruns=100.0 fuzzPct=0.01 cat=0.02 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 734.72, 0.0, 0.0, 0.0, 540.7154719443489, 0.01968520000000001
"nruns=100.0 fuzzPct=0.001 cat=0.01 mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 779.3800000000001, 0.0, 0.0, 0.0, 317.11978115532304, 0.00995200000000001
"nruns=100.0 fuzzPct=0.0025 cat=0.02 mvrsFuzzPct=0.0025 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 407.2099999999999, 0.0, 0.0, 0.0, 213.07248977754023, 0.019985800000000005
"nruns=100.0 fuzzPct=0.005 cat=0.04 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 191.92, 0.0, 0.0, 0.0, 72.89796704984303, 0.03970719999999999
"nruns=100.0 fuzzPct=0.005 cat=0.01 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 1386.1299999999999, 0.0, 0.0, 0.0, 1046.5161886468838, 0.009952599999999995
"nruns=100.0 fuzzPct=0.0025 cat=0.01 mvrsFuzzPct=0.0025 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 1042.9300000000005, 0.0, 0.0, 0.0, 645.7061290556254, 0.0099224
"nruns=100.0 fuzzPct=0.0075 cat=0.04 mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 222.15000000000003, 0.0, 0.0, 0.0, 125.66124104114205, 0.039584199999999986
"nruns=100.0 fuzzPct=0.001 cat=0.02 mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 379.15, 0.0, 0.0, 0.0, 131.48561708415107, 0.019972999999999998
"nruns=100.0 fuzzPct=0.01 cat=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 2344.669999999999, 0.0, 0.0, 0.0, 1984.5355328388553, 0.009919600000000002
"nruns=100.0 fuzzPct=0.0075 cat=0.01 mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 1767.25, 0.0, 0.0, 0.0, 1325.9657640753778, 0.010005599999999996
