parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=1000.0 fuzzPct=0.0 cat=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 9.999999999998899E-4, StatRejectNull, 1.0, 6439.0, 0.0, 0.0, 0.0, 0.0, 9.999999999998899E-4
"nruns=1000.0 fuzzPct=0.0 cat=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.0040000000000000036, StatRejectNull, 1.0, 1649.0, 0.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=1000.0 fuzzPct=0.0 cat=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.006000000000000005, StatRejectNull, 1.0, 1102.0, 0.0, 0.0, 0.0, 0.0, 0.006000000000000153
"nruns=1000.0 fuzzPct=0.0 cat=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.0020000000000000018, StatRejectNull, 1.0, 3273.0, 0.0, 0.0, 0.0, 0.0, 0.0020000000000000018
"nruns=1000.0 fuzzPct=0.0 cat=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.004999999999999893, StatRejectNull, 1.0, 1321.0, 0.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=1000.0 fuzzPct=0.0 cat=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.0029999999999998916, StatRejectNull, 1.0, 2193.0, 0.0, 0.0, 0.0, 0.0, 0.0029999999999999654
"nruns=1000.0 fuzzPct=0.0 cat=0.0 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.008000000000000007, StatRejectNull, 1.0, 827.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=1000.0 fuzzPct=0.005 cat=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.0040000000000000036, StatRejectNull, 1.0, 7619.566999999996, 0.0, 0.0, 0.0, 5668.79870021074, 0.003959169999999997
"nruns=1000.0 fuzzPct=0.0025 cat=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 100000, 0.0040000000000000036, StatRejectNull, 1.0, 4032.6250000000023, 0.0, 0.0, 0.0, 3069.676603223049, 0.003986600000000005
"nruns=1000.0 fuzzPct=0.001 cat=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 100000, 0.0040000000000000036, StatRejectNull, 1.0, 2438.046000000004, 0.0, 0.0, 0.0, 1575.0358643167463, 0.003997900000000001
"nruns=1000.0 fuzzPct=0.001 cat=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 100000, 0.008000000000000007, StatRejectNull, 1.0, 1034.4039999999986, 0.0, 0.0, 0.0, 517.760093850424, 0.007990290000000002
"nruns=1000.0 fuzzPct=0.0025 cat=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 100000, 0.004999999999999893, StatRejectNull, 1.0, 2823.111, 0.0, 0.0, 0.0, 2127.1483659300784, 0.0049808400000000055
"nruns=1000.0 fuzzPct=0.001 cat=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 100000, 0.0020000000000000018, StatRejectNull, 1.0, 6945.774, 0.0, 0.0, 0.0, 5058.898579821899, 0.001992870000000002
"nruns=1000.0 fuzzPct=0.005 cat=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.008000000000000007, StatRejectNull, 1.0, 2132.632999999998, 0.0, 0.0, 0.0, 1654.4771966730164, 0.007969669999999986
"nruns=1000.0 fuzzPct=0.005 cat=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.006000000000000005, StatRejectNull, 1.0, 3514.5110000000045, 0.0, 0.0, 0.0, 2843.4875251843455, 0.005958300000000004
"nruns=1000.0 fuzzPct=0.005 cat=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.004999999999999893, StatRejectNull, 1.0, 4755.532000000005, 0.0, 0.0, 0.0, 3771.145152201914, 0.004967079999999995
"nruns=1000.0 fuzzPct=0.001 cat=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 100000, 0.004999999999999893, StatRejectNull, 1.0, 1851.6000000000001, 0.0, 0.0, 0.0, 1067.0358859944683, 0.004984120000000004
"nruns=1000.0 fuzzPct=0.0025 cat=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 100000, 0.0029999999999998916, StatRejectNull, 1.0, 6658.730000000001, 0.0, 0.0, 0.0, 5100.410783368333, 0.0029824100000000026
"nruns=1000.0 fuzzPct=0.005 cat=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.0029999999999998916, StatRejectNull, 1.0, 13276.023999999987, 0.0, 0.0, 0.0, 9026.456259874301, 0.0029806700000000025
"nruns=1000.0 fuzzPct=0.0075 cat=0.0075 mvrsFuzzPct=0.0075 auditType=3.0 ", 100000, 0.006000000000000005, StatRejectNull, 1.0, 5185.546000000005, 0.0, 0.0, 0.0, 3987.1797829899765, 0.005923760000000007
"nruns=1000.0 fuzzPct=0.0025 cat=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 100000, 0.006000000000000005, StatRejectNull, 1.0, 2115.2009999999973, 0.0, 0.0, 0.0, 1505.7949098728561, 0.00598443
"nruns=1000.0 fuzzPct=0.001 cat=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 100000, 0.0029999999999998916, StatRejectNull, 1.0, 3688.5269999999973, 0.0, 0.0, 0.0, 2511.2804043497404, 0.0029968400000000015
"nruns=1000.0 fuzzPct=0.0025 cat=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 100000, 0.008000000000000007, StatRejectNull, 1.0, 1383.9379999999992, 0.0, 0.0, 0.0, 938.2267296107051, 0.007969409999999988
"nruns=1000.0 fuzzPct=0.0075 cat=0.0075 mvrsFuzzPct=0.0075 auditType=3.0 ", 100000, 0.004999999999999893, StatRejectNull, 1.0, 7262.155000000002, 0.0, 0.0, 0.0, 5480.971161844859, 0.004936110000000007
"nruns=1000.0 fuzzPct=0.0025 cat=0.0025 mvrsFuzzPct=0.0025 auditType=3.0 ", 100000, 0.0020000000000000018, StatRejectNull, 1.0, 14337.414000000006, 0.0, 0.0, 0.0, 10400.23235272194, 0.001980880000000003
"nruns=1000.0 fuzzPct=0.01 cat=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.006000000000000005, StatRejectNull, 1.0, 6758.8539999999975, 0.0, 0.0, 0.0, 5047.483683052776, 0.005914329999999992
"nruns=1000.0 fuzzPct=0.01 cat=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.004999999999999893, StatRejectNull, 1.0, 9946.778000000004, 0.0, 0.0, 0.0, 7020.02589259584, 0.004944619999999998
"nruns=1000.0 fuzzPct=0.0075 cat=0.0075 mvrsFuzzPct=0.0075 auditType=3.0 ", 100000, 0.0040000000000000036, StatRejectNull, 1.0, 11104.647999999965, 0.0, 0.0, 0.0, 7781.995702138116, 0.003939690000000006
"nruns=1000.0 fuzzPct=0.001 cat=0.001 mvrsFuzzPct=0.001 auditType=3.0 ", 100000, 0.006000000000000005, StatRejectNull, 1.0, 1438.097999999999, 0.0, 0.0, 0.0, 791.3572394285659, 0.0059927199999999965
"nruns=1000.0 fuzzPct=0.01 cat=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.0029999999999998916, StatRejectNull, 1.0, 23076.11, 0.0, 0.0, 0.0, 14599.898900468455, 0.002939780000000008
"nruns=1000.0 fuzzPct=0.01 cat=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.0040000000000000036, StatRejectNull, 1.0, 14406.42799999999, 0.0, 0.0, 0.0, 9822.528488063348, 0.003934710000000001
"nruns=1000.0 fuzzPct=0.0075 cat=0.0075 mvrsFuzzPct=0.0075 auditType=3.0 ", 100000, 0.0029999999999998916, StatRejectNull, 1.0, 17979.42400000006, 0.0, 0.0, 0.0, 11760.024975493208, 0.0029757899999999964
