parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100.0 fuzzPct=0.0075 cat=polling mvrsFuzzPct=0.0075 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 14698.32, 0.0, 0.0, 0.0, 7470.833342914298, 0.019735
"nruns=100.0 fuzzPct=0.0025 cat=polling mvrsFuzzPct=0.0025 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 13113.41, 0.0, 0.0, 0.0, 7891.381208755537, 0.019927399999999994
"nruns=100.0 fuzzPct=0.005 cat=polling mvrsFuzzPct=0.005 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 12947.480000000001, 0.0, 0.0, 0.0, 7680.534663003613, 0.019805999999999994
"nruns=100.0 fuzzPct=0.01 cat=clca mvrsFuzzPct=0.01 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 636.14, 0.0, 0.0, 0.0, 520.6044951784415, 0.01979080000000001
"nruns=100.0 fuzzPct=0.0 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 13559.599999999997, 0.0, 0.0, 0.0, 6962.7401832899095, 0.020000000000000018
"nruns=100.0 fuzzPct=0.0075 cat=clca mvrsFuzzPct=0.0075 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 602.52, 0.0, 0.0, 0.0, 415.70531581879, 0.019756400000000004
"nruns=100.0 fuzzPct=0.0 cat=clca mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 330.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=100.0 fuzzPct=0.0025 cat=clca mvrsFuzzPct=0.0025 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 392.8800000000001, 0.0, 0.0, 0.0, 157.11997199592423, 0.019969200000000006
"nruns=100.0 fuzzPct=0.001 cat=polling mvrsFuzzPct=0.001 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 12622.460000000001, 0.0, 0.0, 0.0, 7683.401916364914, 0.019952599999999994
"nruns=100.0 fuzzPct=0.05 cat=clca mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 3090.2200000000007, 0.0, 0.0, 0.0, 2512.0627961100013, 0.0184722
"nruns=100.0 fuzzPct=0.01 cat=polling mvrsFuzzPct=0.01 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 13915.04, 0.0, 0.0, 0.0, 8125.103657086474, 0.019734400000000006
"nruns=100.0 fuzzPct=0.05 cat=polling mvrsFuzzPct=0.05 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 15873.04, 0.0, 0.0, 0.0, 8158.274601801536, 0.018725800000000004
"nruns=100.0 fuzzPct=0.03 cat=polling mvrsFuzzPct=0.03 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 14104.360000000002, 0.0, 0.0, 0.0, 8852.004088928114, 0.01919379999999999
"nruns=100.0 fuzzPct=0.001 cat=clca mvrsFuzzPct=0.001 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 334.39, 0.0, 0.0, 0.0, 60.521383824231904, 0.019983000000000008
"nruns=100.0 fuzzPct=0.02 cat=polling mvrsFuzzPct=0.02 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 13610.21, 0.0, 0.0, 0.0, 7079.525196360276, 0.0193608
"nruns=100.0 fuzzPct=0.005 cat=clca mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 469.05000000000007, 0.0, 0.0, 0.0, 271.82808445780574, 0.01989119999999999
"nruns=100.0 fuzzPct=0.02 cat=clca mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 1160.3800000000003, 0.0, 0.0, 0.0, 974.7717556433404, 0.019180199999999994
"nruns=100.0 fuzzPct=0.03 cat=clca mvrsFuzzPct=0.03 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 2030.6399999999999, 0.0, 0.0, 0.0, 1618.524238434507, 0.01919
