parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 1208.3899999999996, 0.0, 0.0, 0.0, 928.6778978203369, 0.07000000000000023
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 652.87, 0.0, 0.0, 0.0, 492.7740791681315, 0.09999999999999983
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 3060.1299999999997, 0.0, 0.0, 0.0, 2222.7871722456916, 0.04999999999999991
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 2075.49, 0.0, 0.0, 0.0, 1615.0680449751956, 0.06000000000000019
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 4360.98, 0.0, 0.0, 0.0, 2806.569129667038, 0.040000000000000036
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 1057.6800000000003, 0.0, 0.0, 0.0, 898.7815850360977, 0.08000000000000007
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 7193.640000000001, 0.0, 0.0, 0.0, 4943.894431558992, 0.030000000000000096
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 13426.940000000002, 0.0, 0.0, 0.0, 7701.083644293186, 0.020000000000000018
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.0, 19782.049999999996, 0.0, 0.0, 0.0, 9802.422904950592, 0.014999999999999902
"nruns=100 cat=polling mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 29077.35, 0.0, 0.0, 0.0, 11285.093617134951, 0.010000000000000009
